accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,model_variant,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,anomaly_threshold,scoring_mode,pst_nll_epsilon,pst_score_window,num_states,num_contexts,num_transitions,transition_density
0.8146341463414634,0.10256410256410256,0.5714285714285714,0.17391304347826086,original,BATADAL,single,42,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,1,151,437,891,0.013502659614772606
0.8097560975609757,0.1,0.5714285714285714,0.1702127659574468,gaussian_noise,BATADAL,single,42,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,1,151,437,891,0.013502659614772606
0.7814569536423841,0.08823529411764706,0.6,0.15384615384615385,unseen_data,BATADAL,single,42,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,1,151,437,891,0.013502659614772606
0.8146341463414634,0.10256410256410256,0.5714285714285714,0.17391304347826086,original,BATADAL,single,123,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,1,151,437,891,0.013502659614772606
0.8048780487804879,0.0975609756097561,0.5714285714285714,0.16666666666666666,gaussian_noise,BATADAL,single,123,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,1,151,437,891,0.013502659614772606
0.7814569536423841,0.08823529411764706,0.6,0.15384615384615385,unseen_data,BATADAL,single,123,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,1,151,437,891,0.013502659614772606
0.8146341463414634,0.10256410256410256,0.5714285714285714,0.17391304347826086,original,BATADAL,single,2026,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,1,151,437,891,0.013502659614772606
0.8048780487804879,0.0975609756097561,0.5714285714285714,0.16666666666666666,gaussian_noise,BATADAL,single,2026,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,1,151,437,891,0.013502659614772606
0.7814569536423841,0.08823529411764706,0.6,0.15384615384615385,unseen_data,BATADAL,single,2026,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,1,151,437,891,0.013502659614772606
0.8146341463414634,0.10256410256410256,0.5714285714285714,0.17391304347826086,original,BATADAL,single,7,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,1,151,437,891,0.013502659614772606
0.8,0.09523809523809523,0.5714285714285714,0.16326530612244897,gaussian_noise,BATADAL,single,7,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,1,151,437,891,0.013502659614772606
0.7814569536423841,0.08823529411764706,0.6,0.15384615384615385,unseen_data,BATADAL,single,7,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,1,151,437,891,0.013502659614772606
