accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,smoothing_alpha,dirichlet_smoothing_enabled,dirichlet_alpha,dirichlet_prior_mode,decision_mode,score_threshold,auto_score_percentile,score_window,max_mapping_distance,num_states,vocab_size,num_transitions,transition_density
0.4292682926829268,0.041666666666666664,0.7142857142857143,0.07874015748031496,original,BATADAL,dirichlet_smoothing_sweep,42,4,3,3,0.05,0.1,True,0.01,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.43902439024390244,0.0423728813559322,0.7142857142857143,0.08,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,42,4,3,3,0.05,0.1,True,0.01,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.25,0.07692307692307693,1.0,0.14285714285714285,unseen_data,BATADAL,dirichlet_smoothing_sweep,42,4,3,3,0.05,0.1,True,0.01,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.4292682926829268,0.041666666666666664,0.7142857142857143,0.07874015748031496,original,BATADAL,dirichlet_smoothing_sweep,123,4,3,3,0.05,0.1,True,0.01,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.4195121951219512,0.040983606557377046,0.7142857142857143,0.07751937984496124,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,123,4,3,3,0.05,0.1,True,0.01,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.25,0.07692307692307693,1.0,0.14285714285714285,unseen_data,BATADAL,dirichlet_smoothing_sweep,123,4,3,3,0.05,0.1,True,0.01,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.4292682926829268,0.041666666666666664,0.7142857142857143,0.07874015748031496,original,BATADAL,dirichlet_smoothing_sweep,2026,4,3,3,0.05,0.1,True,0.01,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.4097560975609756,0.04032258064516129,0.7142857142857143,0.07633587786259542,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,2026,4,3,3,0.05,0.1,True,0.01,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.25,0.07692307692307693,1.0,0.14285714285714285,unseen_data,BATADAL,dirichlet_smoothing_sweep,2026,4,3,3,0.05,0.1,True,0.01,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.4292682926829268,0.041666666666666664,0.7142857142857143,0.07874015748031496,original,BATADAL,dirichlet_smoothing_sweep,7,4,3,3,0.05,0.1,True,0.01,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
