dataset,dynamic_threshold_quantile,min_dynamic_threshold_samples,window_size,alphabet_size,weight_sharpness,base_threshold,precision_mean,recall_mean,f1_score_mean,use_dynamic_threshold,use_similarity_penalty,similarity_penalty_strength
BATADAL,0.01,3,4,3,6.0,0.01,0.03571428571428571,0.2857142857142857,0.06349206349206349,True,False,0.0
BATADAL,0.03,3,4,3,6.0,0.01,0.04819277108433735,0.5714285714285714,0.08888888888888889,True,False,0.0
BATADAL,0.05,3,4,3,6.0,0.01,0.046511627906976744,0.5714285714285714,0.08602150537634409,True,False,0.0
BATADAL,0.1,3,4,3,6.0,0.01,0.04,0.5714285714285714,0.07476635514018691,True,False,0.0
BATADAL,0.2,3,4,3,6.0,0.01,0.04,0.7142857142857143,0.07575757575757576,True,False,0.0
SKAB,0.01,3,4,4,2.0,0.99,0.18928571428571428,0.017042606516290727,0.030107224945934624,True,False,0.0
SKAB,0.03,3,4,4,2.0,0.99,0.21928571428571428,0.017543859649122806,0.0310948671344711,True,False,0.0
SKAB,0.05,3,4,4,2.0,0.99,0.1956302521008403,0.039097744360902256,0.06127452933076524,True,False,0.0
SKAB,0.1,3,4,4,2.0,0.99,0.3772076752481729,0.06859799403597018,0.10975964558969921,True,False,0.0
SKAB,0.2,3,4,4,2.0,0.99,0.44874013628758436,0.12108479595907921,0.1812130585203053,True,False,0.0
