dataset,scenario,order,base_order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,ensemble_name,ensemble_enabled,ensemble_orders,ensemble_weights,ensemble_aggregation,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,gaussian_noise,3,3,0.1,avg_negative_log,5,3.5066,,base_disabled,False,[3],,mean,0.8585365853658538,0.01090764867073069,0.12264932776612421,0.027465513735784323,0.5142857142857142,0.12777531299998798,0.19785095537417519,0.04481836427445931,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,3,0.1,avg_negative_log,5,3.5066,,orders_2_3_mean,True,"[2,3]",,mean,0.8585365853658538,0.01090764867073069,0.12264932776612421,0.027465513735784323,0.5142857142857142,0.12777531299998798,0.19785095537417519,0.04481836427445931,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,3,0.1,avg_negative_log,5,3.912,,base_disabled,False,[3],,mean,0.9463414634146341,0.01144003843859369,0.31212121212121213,0.12090871117127275,0.48571428571428565,0.19166296949998196,0.37963536291709665,0.14750094975600908,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,3,0.1,avg_negative_log,5,3.912,,orders_2_3_mean,True,"[2,3]",,mean,0.9463414634146341,0.01144003843859369,0.31212121212121213,0.12090871117127275,0.48571428571428565,0.19166296949998196,0.37963536291709665,0.14750094975600908,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,3,0.1,avg_negative_log,5,4.2,,base_disabled,False,[3],,mean,0.9648780487804878,0.002181529734146131,0.4,0.22360679774997896,0.11428571428571428,0.06388765649999399,0.17777777777777776,0.09938079899999065,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,3,0.1,avg_negative_log,5,4.2,,orders_2_3_mean,True,"[2,3]",,mean,0.96,0.002181529734146131,0.26666666666666666,0.14907119849998596,0.11428571428571428,0.06388765649999399,0.16,0.0894427190999916,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,3,0.1,avg_negative_log,5,4.5,,base_disabled,False,[3],,mean,0.9648780487804878,0.002181529734146131,0.4,0.22360679774997896,0.11428571428571428,0.06388765649999399,0.17777777777777776,0.09938079899999065,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,3,0.1,avg_negative_log,5,4.5,,orders_2_3_mean,True,"[2,3]",,mean,0.9648780487804878,0.002181529734146131,0.4,0.22360679774997896,0.11428571428571428,0.06388765649999399,0.17777777777777776,0.09938079899999065,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,3.5066,,orders_2_3_4_max,True,"[2,3,4]",,max,0.8458536585365855,0.017789836613473647,0.11291153222187704,0.02538546832733893,0.5142857142857142,0.12777531299998798,0.18479003814161132,0.04155527463739942,0.021832213094349018,618.0,877.0
BATADAL,gaussian_noise,4,4,0.1,avg_negative_log,5,3.5066,,orders_2_3_4_mean,True,"[2,3,4]",,mean,0.8565853658536586,0.010115337245525729,0.12078467509501993,0.026091104527204353,0.5142857142857142,0.12777531299998798,0.19542679542679542,0.0431260101982974,0.021832213094349018,618.0,877.0
