dataset,decision_mode,order,smoothing_alpha,score_window,score_threshold,max_mapping_distance,entropy_threshold,entropy_mode,entropy_min_total_exits,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,avg_negative_log,3,0.1,5,3.912,,0.9,normalized,1,0.5609756097560976,0.0,0.06315789473684211,0.0,0.8571428571428571,0.0,0.11764705882352941,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,3,0.1,5,3.912,,0.95,normalized,1,0.6195121951219512,0.0,0.06172839506172839,0.0,0.7142857142857143,0.0,0.11363636363636362,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,3,0.1,5,3.912,,0.85,normalized,1,0.33170731707317075,0.0,0.04225352112676056,0.0,0.8571428571428571,0.0,0.08053691275167785,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,3,0.1,5,3.912,,0.8,normalized,1,0.25853658536585367,0.0,0.03821656050955414,0.0,0.8571428571428571,0.0,0.07317073170731707,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,3,0.1,5,3.912,,0.75,normalized,1,0.20487804878048782,0.0,0.03571428571428571,0.0,0.8571428571428571,0.0,0.06857142857142857,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,3,0.1,5,3.912,,0.7,normalized,1,0.14146341463414633,0.0,0.03314917127071823,0.0,0.8571428571428571,0.0,0.06382978723404255,0.0,0.023245060949978982,366.0,553.0
SKAB,avg_negative_log,3,0.5,10,0.2231,,0.7,normalized,1,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
SKAB,avg_negative_log,3,0.5,10,0.2231,,0.75,normalized,1,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
SKAB,avg_negative_log,3,0.5,10,0.2231,,0.8,normalized,1,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
SKAB,avg_negative_log,3,0.5,10,0.2231,,0.85,normalized,1,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
SKAB,avg_negative_log,3,0.5,10,0.2231,,0.9,normalized,1,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
SKAB,avg_negative_log,3,0.5,10,0.2231,,0.95,normalized,1,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
