dataset,order,anomaly_threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,2,0.02,0.6195121951219512,0.0,0.06172839506172839,0.0,0.7142857142857143,0.0,0.11363636363636362,0.0,0.02516722408026756,184.0,301.0
BATADAL,2,0.03,0.4536585365853659,0.0,0.05128205128205128,0.0,0.8571428571428571,0.0,0.0967741935483871,0.0,0.02516722408026756,184.0,301.0
BATADAL,2,0.04,0.2780487804878049,0.0,0.0392156862745098,0.0,0.8571428571428571,0.0,0.075,0.0,0.02516722408026756,184.0,301.0
BATADAL,2,0.05,0.20487804878048782,0.0,0.041176470588235294,0.0,1.0,0.0,0.07909604519774012,0.0,0.02516722408026756,184.0,301.0
BATADAL,2,0.06,0.16097560975609757,0.0,0.03910614525139665,0.0,1.0,0.0,0.07526881720430108,0.0,0.02516722408026756,184.0,301.0
BATADAL,2,0.07,0.14634146341463414,0.0,0.038461538461538464,0.0,1.0,0.0,0.07407407407407407,0.0,0.02516722408026756,184.0,301.0
BATADAL,2,0.08,0.10243902439024391,0.0,0.03664921465968586,0.0,1.0,0.0,0.0707070707070707,0.0,0.02516722408026756,184.0,301.0
BATADAL,3,0.02,0.6146341463414634,0.0,0.06097560975609756,0.0,0.7142857142857143,0.0,0.11235955056179776,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.03,0.46341463414634154,0.0,0.05217391304347826,0.0,0.8571428571428571,0.0,0.09836065573770492,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.04,0.24878048780487805,0.0,0.03773584905660377,0.0,0.8571428571428571,0.0,0.07228915662650602,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.05,0.17073170731707318,0.0,0.03954802259887006,0.0,1.0,0.0,0.07608695652173914,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.06,0.13170731707317074,0.0,0.03783783783783784,0.0,1.0,0.0,0.07291666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.07,0.11707317073170734,0.0,0.03723404255319149,0.0,1.0,0.0,0.07179487179487179,0.0,0.023245060949978982,366.0,553.0
