dataset,relative_transition_threshold,window_size,alphabet_size,weight_sharpness,threshold,original_f1_mean,unseen_f1_mean
BATADAL,0.05,4,3,6.0,0.01,0.09411764705882353,0.15384615384615385
BATADAL,0.1,4,3,6.0,0.01,0.0898876404494382,0.15384615384615385
BATADAL,0.15,4,3,6.0,0.01,0.0851063829787234,0.15384615384615385
BATADAL,0.2,4,3,6.0,0.01,0.0761904761904762,0.15384615384615385
BATADAL,0.3,4,3,6.0,0.01,0.09345794392523364,0.15384615384615385
BATADAL,0.4,4,3,6.0,0.01,0.08547008547008547,0.15384615384615385
BATADAL,0.5,4,3,6.0,0.01,0.08547008547008547,0.15384615384615385
SKAB,0.05,4,4,2.0,0.99,0.15248577766379762,0.3038461538461539
SKAB,0.1,4,4,2.0,0.99,0.17668445853301534,0.3090711175616836
SKAB,0.15,4,4,2.0,0.99,0.18945550842323683,0.3066951566951567
SKAB,0.2,4,4,2.0,0.99,0.19955900882670707,0.3044055944055944
SKAB,0.3,4,4,2.0,0.99,0.20982285436900974,0.3044055944055944
SKAB,0.4,4,4,2.0,0.99,0.23207660421646248,0.3021978021978022
SKAB,0.5,4,4,2.0,0.99,0.24078420729356675,0.3021978021978022
