dataset,similarity_penalty_strength,window_size,alphabet_size,weight_sharpness,threshold,original_f1_mean,unseen_f1_mean
BATADAL,0.0,4,3,6.0,0.01,0.16666666666666666,0.0
BATADAL,0.1,4,3,6.0,0.01,0.16666666666666666,0.0
BATADAL,0.25,4,3,6.0,0.01,0.16666666666666666,0.0
BATADAL,0.5,4,3,6.0,0.01,0.15384615384615385,0.15384615384615385
BATADAL,0.75,4,3,6.0,0.01,0.15384615384615385,0.15384615384615385
BATADAL,1.0,4,3,6.0,0.01,0.15384615384615385,0.15384615384615385
SKAB,0.0,4,4,2.0,0.99,0.5414225705313253,0.3142857142857143
SKAB,0.1,4,4,2.0,0.99,0.5415700619506343,0.30273631840796017
SKAB,0.25,4,4,2.0,0.99,0.5415700619506343,0.30273631840796017
SKAB,0.5,4,4,2.0,0.99,0.5415700619506343,0.30273631840796017
SKAB,0.75,4,4,2.0,0.99,0.5415700619506343,0.30273631840796017
SKAB,1.0,4,4,2.0,0.99,0.5415700619506343,0.30273631840796017
