dataset,threshold,window_size,alphabet_size,weight_sharpness,f1_score_mean,use_similarity_penalty
BATADAL,0.01,4,3,6.0,0.15384615384615385,True
BATADAL,0.02,4,3,6.0,0.1095890410958904,True
BATADAL,0.03,4,3,6.0,0.09876543209876543,True
BATADAL,0.05,4,3,6.0,0.09411764705882353,True
BATADAL,0.07,4,3,6.0,0.09302325581395349,True
BATADAL,0.1,4,3,6.0,0.08602150537634409,True
BATADAL,0.15,4,3,6.0,0.08080808080808081,True
BATADAL,0.2,4,3,6.0,0.07476635514018691,True
SKAB,0.5,4,4,2.0,0.29776529597357293,True
SKAB,0.6,4,4,2.0,0.3204799316898401,True
SKAB,0.7,4,4,2.0,0.3544368361417187,True
SKAB,0.8,4,4,2.0,0.37084925672944685,True
SKAB,0.9,4,4,2.0,0.4115724029386947,True
SKAB,0.95,4,4,2.0,0.43393111678156826,True
SKAB,0.99,4,4,2.0,0.5415700619506343,True
