dataset,model,seed,fold,threshold,accuracy,precision,recall,f1
BATADAL,LSTM,42,-,0.4,0.9673518742442564,0.7623762376237624,0.9625,0.850828729281768
BATADAL,LSTM,123,-,0.3,0.9032648125755743,0.5,0.4,0.4444444444444444
BATADAL,LSTM,2026,-,0.4,0.8839177750906893,0.30952380952380953,0.1625,0.21311475409836064
BATADAL,LSTM,7,-,0.2,0.898428053204353,0.3888888888888889,0.0875,0.14285714285714285
BATADAL,LSTM,999,-,0.18,0.9443772672309553,0.6517857142857143,0.9125,0.7604166666666666
BATADAL,GRU,42,-,0.5,0.9576783555018138,0.6991150442477876,0.9875,0.8186528497409327
BATADAL,GRU,123,-,0.16,0.939540507859734,0.6229508196721312,0.95,0.7524752475247525
BATADAL,GRU,2026,-,0.35,0.9637243047158404,0.7272727272727273,1.0,0.8421052631578947
BATADAL,GRU,7,-,0.25,0.9492140266021766,0.6666666666666666,0.95,0.7835051546391752
BATADAL,GRU,999,-,0.35,0.9637243047158404,0.7659574468085106,0.9,0.8275862068965517
