dataset,model,balancing_method,seed,fold,threshold,accuracy,precision,recall,f1
BATADAL,LSTM,adasyn,42,-,0.5,0.9033047735618115,0.6666666666666666,0.025,0.04819277108433735
BATADAL,LSTM,adasyn,123,-,0.1,0.966952264381885,0.7849462365591398,0.9125,0.8439306358381503
BATADAL,LSTM,adasyn,2026,-,0.1,0.9400244798041616,0.6201550387596899,1.0,0.7655502392344498
BATADAL,LSTM,adasyn,7,-,0.2,0.9167686658506732,0.7727272727272727,0.2125,0.3333333333333333
BATADAL,LSTM,adasyn,999,-,0.1,0.9400244798041616,0.6220472440944882,0.9875,0.7632850241545893
BATADAL,LSTM,adasyn,1,-,0.2,0.9485924112607099,0.6759259259259259,0.9125,0.776595744680851
BATADAL,LSTM,adasyn,13,-,0.5,0.8971848225214198,0.0,0.0,0.0
BATADAL,LSTM,adasyn,101,-,0.2,0.8984088127294981,0.46153846153846156,0.225,0.3025210084033613
BATADAL,LSTM,adasyn,256,-,0.5,0.9400244798041616,0.8780487804878049,0.45,0.5950413223140496
BATADAL,LSTM,adasyn,314,-,0.1,0.9583843329253366,0.8285714285714286,0.725,0.7733333333333333
BATADAL,LSTM,adasyn,512,-,0.3,0.9008567931456548,0.3333333333333333,0.0125,0.024096385542168676
BATADAL,LSTM,adasyn,1024,-,0.5,0.9008567931456548,0.0,0.0,0.0
BATADAL,LSTM,adasyn,2048,-,0.1,0.9228886168910648,0.5594405594405595,1.0,0.7174887892376681
BATADAL,LSTM,adasyn,4096,-,0.2,0.9498164014687882,0.6756756756756757,0.9375,0.7853403141361257
BATADAL,LSTM,adasyn,8192,-,0.1,0.9192166462668299,0.5507246376811594,0.95,0.6972477064220184
BATADAL,GRU,adasyn,42,-,0.3,0.9310761789600968,0.5934959349593496,0.9125,0.7192118226600985
BATADAL,GRU,adasyn,123,-,0.5,0.9068923821039904,0.5555555555555556,0.1875,0.2803738317757009
BATADAL,GRU,adasyn,2026,-,0.5,0.9552599758162031,0.7654320987654321,0.775,0.7701863354037267
BATADAL,GRU,adasyn,7,-,0.4,0.8911729141475212,0.0,0.0,0.0
BATADAL,GRU,adasyn,999,-,0.5,0.8911729141475212,0.0,0.0,0.0
BATADAL,GRU,adasyn,1,-,0.5,0.8960096735187424,0.0,0.0,0.0
BATADAL,GRU,adasyn,13,-,0.5,0.9032648125755743,0.5,0.475,0.48717948717948717
BATADAL,GRU,adasyn,101,-,0.5,0.9431680773881499,0.7142857142857143,0.6875,0.7006369426751592
BATADAL,GRU,adasyn,256,-,0.5,0.9419588875453446,0.6632653061224489,0.8125,0.7303370786516854
BATADAL,GRU,adasyn,314,-,0.5,0.9020556227327691,0.48717948717948717,0.2375,0.31932773109243695
BATADAL,GRU,adasyn,512,-,0.5,0.8899637243047158,0.0,0.0,0.0
BATADAL,GRU,adasyn,1024,-,0.2,0.9274486094316807,0.5757575757575758,0.95,0.7169811320754716
BATADAL,GRU,adasyn,2048,-,0.5,0.8948004836759371,0.18181818181818182,0.025,0.04395604395604396
BATADAL,GRU,adasyn,4096,-,0.4,0.9407496977025392,0.6565656565656566,0.8125,0.7262569832402235
BATADAL,GRU,adasyn,8192,-,0.5,0.8899637243047158,0.17647058823529413,0.0375,0.061855670103092786
