dataset,model,seed,fold,ma_window,threshold,accuracy,precision,recall,f1
BATADAL,LSTM,42,-,3,0.1,0.8824969400244798,0.16666666666666666,0.05,0.07692307692307693
BATADAL,LSTM,123,-,3,0.4,0.8886168910648715,0.23809523809523808,0.0625,0.09900990099009901
BATADAL,LSTM,2026,-,3,0.1,0.9755201958384333,0.8260869565217391,0.95,0.8837209302325582
BATADAL,LSTM,7,-,3,0.1,0.8873929008567931,0.38461538461538464,0.25,0.30303030303030304
BATADAL,LSTM,999,-,3,0.2,0.9742962056303549,0.8554216867469879,0.8875,0.8711656441717791
BATADAL,GRU,42,-,3,0.5,0.9008567931456548,0.0,0.0,0.0
BATADAL,GRU,123,-,3,0.4,0.944920440636475,0.7333333333333333,0.6875,0.7096774193548387
BATADAL,GRU,2026,-,3,0.1,0.95593635250918,0.7156862745098039,0.9125,0.8021978021978022
BATADAL,GRU,7,-,3,0.2,0.9657282741738066,0.782608695652174,0.9,0.8372093023255814
BATADAL,GRU,999,-,3,0.3,0.9020807833537332,0.0,0.0,0.0
BATADAL,LSTM,42,-,5,0.4,0.9020807833537332,0.0,0.0,0.0
BATADAL,LSTM,123,-,5,0.2,0.8886168910648715,0.0,0.0,0.0
BATADAL,LSTM,2026,-,5,0.1,0.9632802937576499,0.7604166666666666,0.9125,0.8295454545454546
BATADAL,LSTM,7,-,5,0.1,0.9302325581395349,0.583941605839416,1.0,0.7373271889400922
BATADAL,LSTM,999,-,5,0.1,0.9473684210526315,0.6608695652173913,0.95,0.7794871794871795
BATADAL,GRU,42,-,5,0.2,0.8824969400244798,0.2894736842105263,0.1375,0.1864406779661017
BATADAL,GRU,123,-,5,0.1,0.9400244798041616,0.6302521008403361,0.9375,0.7537688442211056
BATADAL,GRU,2026,-,5,0.1,0.9718482252141983,0.8202247191011236,0.9125,0.863905325443787
BATADAL,GRU,7,-,5,0.1,0.9069767441860465,0.532258064516129,0.4125,0.4647887323943662
BATADAL,GRU,999,-,5,0.1,0.95593635250918,0.6896551724137931,1.0,0.8163265306122449
BATADAL,LSTM,42,-,7,0.1,0.9265605875152999,0.625,0.625,0.625
BATADAL,LSTM,123,-,7,0.1,0.9730722154222766,0.881578947368421,0.8375,0.8589743589743589
BATADAL,LSTM,2026,-,7,0.1,0.9057527539779682,0.8,0.05,0.09411764705882353
BATADAL,LSTM,7,-,7,0.2,0.8996328029375765,0.0,0.0,0.0
BATADAL,LSTM,999,-,7,0.1,0.9522643818849449,0.6846846846846847,0.95,0.7958115183246073
BATADAL,GRU,42,-,7,0.2,0.9510403916768666,0.6886792452830188,0.9125,0.7849462365591398
BATADAL,GRU,123,-,7,0.2,0.9106487148102815,0.64,0.2,0.3047619047619048
BATADAL,GRU,2026,-,7,0.3,0.9020807833537332,0.0,0.0,0.0
BATADAL,GRU,7,-,7,0.1,0.9694002447980417,0.8021978021978022,0.9125,0.8538011695906432
BATADAL,GRU,999,-,7,0.1,0.9742962056303549,0.8390804597701149,0.9125,0.874251497005988
