dataset,model,seed,fold,scenario,threshold,accuracy,precision,recall,f1
BATADAL,LSTM,42,-,gaussian_noise,0.2,0.9008567931456548,0.49206349206349204,0.3875,0.43356643356643354
BATADAL,LSTM,42,-,unseen_data,0.2,0.515527950310559,0.5172413793103449,0.375,0.43478260869565216
BATADAL,LSTM,123,-,gaussian_noise,0.2,0.9400244798041616,0.7818181818181819,0.5375,0.6370370370370371
BATADAL,LSTM,123,-,unseen_data,0.2,0.7267080745341615,0.8913043478260869,0.5125,0.6507936507936508
BATADAL,LSTM,2026,-,gaussian_noise,0.4,0.9375764993880049,0.6283185840707964,0.8875,0.7357512953367875
BATADAL,LSTM,2026,-,unseen_data,0.4,0.6956521739130435,0.6396396396396397,0.8875,0.743455497382199
BATADAL,LSTM,7,-,gaussian_noise,0.1,0.8763769889840881,0.4419889502762431,1.0,0.6130268199233716
BATADAL,LSTM,7,-,unseen_data,0.1,0.5527950310559007,0.5263157894736842,1.0,0.6896551724137931
BATADAL,LSTM,999,-,gaussian_noise,0.1,0.9033047735618115,0.5031446540880503,1.0,0.6694560669456067
BATADAL,LSTM,999,-,unseen_data,0.1,0.5838509316770186,0.54421768707483,1.0,0.7048458149779736
BATADAL,GRU,42,-,gaussian_noise,0.2,0.8935128518971848,0.3333333333333333,0.0875,0.13861386138613863
BATADAL,GRU,42,-,unseen_data,0.2,0.4720496894409938,0.35294117647058826,0.075,0.12371134020618557
BATADAL,GRU,123,-,gaussian_noise,0.5,0.8886168910648715,0.07692307692307693,0.0125,0.021505376344086023
BATADAL,GRU,123,-,unseen_data,0.5,0.4409937888198758,0.08333333333333333,0.0125,0.021739130434782608
BATADAL,GRU,2026,-,gaussian_noise,0.2,0.9253365973072215,0.6417910447761194,0.5375,0.5850340136054422
BATADAL,GRU,2026,-,unseen_data,0.2,0.6645962732919255,0.7166666666666667,0.5375,0.6142857142857143
BATADAL,GRU,7,-,gaussian_noise,0.5,0.9069767441860465,0.7,0.0875,0.15555555555555556
BATADAL,GRU,7,-,unseen_data,0.5,0.5527950310559007,1.0,0.1,0.18181818181818182
BATADAL,GRU,999,-,gaussian_noise,0.2,0.9204406364749081,0.6229508196721312,0.475,0.5390070921985816
BATADAL,GRU,999,-,unseen_data,0.2,0.5652173913043478,0.5833333333333334,0.4375,0.5
