model,balancing_method,y_true,seed_42_prob,seed_123_prob,seed_2026_prob,seed_7_prob,seed_999_prob,ensemble_prob,ensemble_pred
LSTM,adasyn,0,0.0007445769,0.0005486235,0.0055461046,0.0007332842,0.0009418094,0.0017028798,0
LSTM,adasyn,0,0.00074941834,0.0005784825,0.005214367,0.0005220076,0.0009096153,0.0015947782,0
LSTM,adasyn,0,0.0006481157,0.00048901205,0.0043245405,0.0003829667,0.0007782513,0.0013245773,0
LSTM,adasyn,0,0.000651381,0.0005453582,0.004120357,0.0003070462,0.0007677071,0.0012783699,0
LSTM,adasyn,0,0.00066003855,0.0007032667,0.0056687584,0.0003531143,0.00088570913,0.0016541773,0
LSTM,adasyn,0,0.00077296497,0.0009394604,0.008437728,0.00047692645,0.001030489,0.0023315137,0
LSTM,adasyn,0,0.001199273,0.0010500535,0.014194153,0.0008443426,0.0013932018,0.0037362047,0
LSTM,adasyn,0,0.0012214292,0.0010242341,0.015711796,0.0009306219,0.0015603846,0.004089693,0
LSTM,adasyn,0,0.00093105383,0.0007859879,0.016472703,0.0008474983,0.0013002985,0.004067508,0
LSTM,adasyn,0,0.0009266139,0.0007871066,0.01869296,0.000893046,0.0012914558,0.004518236,0
LSTM,adasyn,0,0.0009248195,0.0007949254,0.021558262,0.00096216676,0.0012781433,0.0051036635,0
LSTM,adasyn,0,0.0009261192,0.00084969966,0.027664553,0.001107878,0.0012998573,0.006369622,0
LSTM,adasyn,0,0.0009880648,0.0010117877,0.041550435,0.00145016,0.001431011,0.009286291,0
LSTM,adasyn,0,0.0007189309,0.0021013373,0.09247019,0.0012574138,0.0019756088,0.019704696,0
LSTM,adasyn,0,0.0011275654,0.0015739392,0.095143326,0.0026438967,0.0021273808,0.020523222,0
LSTM,adasyn,0,0.0017306842,0.0020850364,0.113637395,0.0034021982,0.0027047459,0.024712011,0
LSTM,adasyn,0,0.0012331248,0.0011830729,0.027331116,0.0009850529,0.0023809578,0.0066226646,0
LSTM,adasyn,0,0.0008777516,0.00095277623,0.017655615,0.00074091967,0.0016516689,0.004375746,0
LSTM,adasyn,0,0.002856408,0.0015478831,0.049600042,0.005797597,0.0036040104,0.012681189,0
LSTM,adasyn,0,0.002120313,0.0025534434,0.04727984,0.001956202,0.0036817016,0.0115183,0
LSTM,adasyn,0,0.0016565967,0.0010808833,0.0147576975,0.00092125236,0.0022308505,0.0041294564,0
LSTM,adasyn,0,0.0015177573,0.0007802106,0.0097170025,0.00075220224,0.0015339917,0.0028602327,0
LSTM,adasyn,0,0.0020621135,0.0006915448,0.008222313,0.0015122017,0.0014221438,0.002782063,0
LSTM,adasyn,0,0.0017116241,0.00073005696,0.008649818,0.0010444178,0.0012240374,0.0026719908,0
LSTM,adasyn,0,0.0008601483,0.00065481674,0.009593106,0.00058801135,0.0009988985,0.002538996,0
LSTM,adasyn,0,0.0013475432,0.00079108705,0.016222797,0.0008454459,0.0014536865,0.0041321116,0
LSTM,adasyn,0,0.0012265887,0.00085475104,0.018937768,0.00074772263,0.0015705647,0.0046674795,0
