dataset,model,balancing_method,seed,fold,threshold,accuracy,precision,recall,f1
BATADAL,LSTM,adasyn,42,-,0.22,0.9552599758162031,0.7654320987654321,0.775,0.7701863354037267
BATADAL,LSTM,adasyn,123,-,0.5,0.9032648125755743,0.0,0.0,0.0
BATADAL,LSTM,adasyn,2026,-,0.09999999999999999,0.9032648125755743,0.5,0.925,0.6491228070175439
BATADAL,LSTM,adasyn,7,-,0.17,0.9455864570737605,0.6470588235294118,0.9625,0.7738693467336684
BATADAL,LSTM,adasyn,999,-,0.5,0.9008464328899637,0.3333333333333333,0.025,0.046511627906976744
BATADAL,GRU,adasyn,42,-,0.37,0.8972188633615478,0.41379310344827586,0.15,0.22018348623853212
BATADAL,GRU,adasyn,123,-,0.34,0.9480048367593712,0.7681159420289855,0.6625,0.7114093959731543
BATADAL,GRU,adasyn,2026,-,0.49,0.9286577992744861,0.6909090909090909,0.475,0.562962962962963
BATADAL,GRU,adasyn,7,-,0.31,0.9286577992744861,0.6153846153846154,0.7,0.6549707602339181
BATADAL,GRU,adasyn,999,-,0.35000000000000003,0.898428053204353,0.25,0.025,0.045454545454545456
