dataset,score_window_candidate,adaptive_strategy,adaptive_value,scenario,window_size,alphabet_size,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,scoring_mode,pst_score_window,adaptive_threshold_mean,adaptive_threshold_std,adaptive_threshold_min,adaptive_threshold_max,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,f1_score_min,train_score_count_mean,train_score_mean,train_score_std_mean,num_contexts_mean,transition_density_mean
BATADAL,3,percentile,99.0,original,4,5,2,2,0.1,negative_log,3,5.92383525847951,0.0,5.92383525847951,5.92383525847951,0.8,0.0,0.11363636363636362,0.0,0.7142857142857143,0.0,0.19607843137254902,0.0,0.19607843137254902,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,1,mean_std,3.0,original,4,5,2,2,0.1,negative_log,1,5.568618414080067,0.0,5.568618414080067,5.568618414080067,0.6926829268292682,0.0,0.07575757575757576,0.0,0.7142857142857143,0.0,0.136986301369863,0.0,0.136986301369863,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,percentile,97.0,original,4,5,2,2,0.1,negative_log,1,5.691594683204304,0.0,5.691594683204304,5.691594683204304,0.7170731707317073,0.0,0.06779661016949153,0.0,0.5714285714285714,0.0,0.12121212121212122,0.0,0.12121212121212122,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,5,percentile,99.0,original,4,5,2,2,0.1,negative_log,5,5.046465977485337,0.0,5.046465977485337,5.046465977485337,0.4975609756097561,0.0,0.06363636363636363,0.0,1.0,0.0,0.11965811965811965,0.0,0.11965811965811966,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,3,mean_std,3.0,original,4,5,2,2,0.1,negative_log,3,5.043010323486609,0.0,5.043010323486609,5.043010323486609,0.4487804878048781,0.0,0.058333333333333334,0.0,1.0,0.0,0.11023622047244094,0.0,0.11023622047244094,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,5,mean_std,3.0,original,4,5,2,2,0.1,negative_log,5,4.72108710250492,0.0,4.72108710250492,4.72108710250492,0.3853658536585366,0.0,0.05263157894736842,0.0,1.0,0.0,0.1,0.0,0.1,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,3,percentile,97.0,original,4,5,2,2,0.1,negative_log,3,4.185877163129846,0.0,4.185877163129846,4.185877163129846,0.28292682926829266,0.0,0.045454545454545456,0.0,1.0,0.0,0.08695652173913043,0.0,0.08695652173913043,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,1,mean_std,2.0,original,4,5,2,2,0.1,negative_log,1,4.298333133024017,0.0,4.298333133024017,4.298333133024017,0.2682926829268293,0.0,0.044585987261146494,0.0,1.0,0.0,0.08536585365853659,0.0,0.08536585365853659,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,percentile,95.0,original,4,5,2,2,0.1,negative_log,1,3.2676231525766726,0.0,3.2676231525766726,3.2676231525766726,0.2634146341463415,0.0,0.04430379746835443,0.0,1.0,0.0,0.08484848484848485,0.0,0.08484848484848485,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,mean_std,1.0,original,4,5,2,2,0.1,negative_log,1,3.0280478519679663,0.0,3.0280478519679663,3.0280478519679663,0.25853658536585367,0.0,0.0440251572327044,0.0,1.0,0.0,0.08433734939759036,0.0,0.08433734939759036,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
