dataset,score_window_candidate,adaptive_strategy,adaptive_value,window_size,alphabet_size,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,scoring_mode,pst_score_window,adaptive_threshold_mean,stability_f1_mean,stability_f1_min,accuracy_mean,precision_mean,recall_mean,num_contexts_mean,transition_density_mean
BATADAL,3,percentile,99.0,4,5,2,2,0.1,negative_log,3,5.92383525847951,0.19064451395195012,0.18181818181818182,0.7926829268292683,0.11001930731926106,0.7142857142857143,437.0,0.013502659614772605
BATADAL,1,mean_std,3.0,4,5,2,2,0.1,negative_log,1,5.568618414080067,0.13498437875510694,0.13157894736842105,0.6873170731707317,0.07453692939626444,0.7142857142857143,437.0,0.013502659614772605
BATADAL,1,percentile,97.0,4,5,2,2,0.1,negative_log,1,5.691594683204304,0.11891808106641866,0.11594202898550725,0.7107317073170731,0.06636789789278383,0.5714285714285714,437.0,0.013502659614772605
BATADAL,5,percentile,99.0,4,5,2,2,0.1,negative_log,5,5.046465977485337,0.11692776304749697,0.11382113821138211,0.48390243902439023,0.062096463729857554,1.0,437.0,0.013502659614772605
BATADAL,3,mean_std,3.0,4,5,2,2,0.1,negative_log,3,5.043010323486609,0.10955910800070279,0.10687022900763359,0.44487804878048787,0.057954675501167174,1.0,437.0,0.013502659614772605
BATADAL,5,mean_std,3.0,4,5,2,2,0.1,negative_log,5,4.72108710250492,0.09874991933758326,0.09655172413793103,0.37658536585365854,0.0519400198421601,1.0,437.0,0.013502659614772605
BATADAL,3,percentile,97.0,4,5,2,2,0.1,negative_log,3,4.185877163129846,0.08647671096313228,0.08536585365853659,0.27853658536585363,0.04519248849226248,1.0,437.0,0.013502659614772605
BATADAL,1,mean_std,2.0,4,5,2,2,0.1,negative_log,1,4.298333133024017,0.08500494216333182,0.08433734939759036,0.2648780487804878,0.04438916431762045,1.0,437.0,0.013502659614772605
BATADAL,1,percentile,95.0,4,5,2,2,0.1,negative_log,1,3.2676231525766726,0.08444141290256289,0.08383233532934131,0.25951219512195123,0.04408193018071809,1.0,437.0,0.013502659614772605
BATADAL,1,mean_std,1.0,4,5,2,2,0.1,negative_log,1,3.0280478519679663,0.08388583209996917,0.08284023668639054,0.25414634146341464,0.04377921844458623,1.0,437.0,0.013502659614772605
BATADAL,5,percentile,97.0,4,5,2,2,0.1,negative_log,5,4.190518695096649,0.08319124740486114,0.08187134502923976,0.2473170731707317,0.043401063479419064,1.0,437.0,0.013502659614772605
BATADAL,10,mean_std,3.0,4,5,2,2,0.1,negative_log,10,4.215615308033016,0.0824022406637315,0.08187134502923976,0.2395121951219512,0.04297161768482034,1.0,437.0,0.013502659614772605
BATADAL,1,percentile,90.0,4,5,2,2,0.1,negative_log,1,2.854378155248259,0.08192229491065806,0.08092485549132948,0.2346341463414634,0.04271069395861847,1.0,437.0,0.013502659614772605
BATADAL,3,mean_std,2.0,4,5,2,2,0.1,negative_log,3,3.9484073641487583,0.0805089272231987,0.07954545454545454,0.22000000000000003,0.04194291604998458,1.0,437.0,0.013502659614772605
BATADAL,10,percentile,99.0,4,5,2,2,0.1,negative_log,10,3.969127937847547,0.07941569110154732,0.07777777777777778,0.2082926829268293,0.041349879496944894,1.0,437.0,0.013502659614772605
BATADAL,3,percentile,95.0,4,5,2,2,0.1,negative_log,3,3.584574609591924,0.07700992510231197,0.07608695652173914,0.18146341463414634,0.040047017515895365,1.0,437.0,0.013502659614772605
BATADAL,5,mean_std,2.0,4,5,2,2,0.1,negative_log,5,3.734353388390815,0.07474981313990602,0.07368421052631578,0.1546341463414634,0.038826096950060854,1.0,437.0,0.013502659614772605
BATADAL,10,mean_std,2.0,4,5,2,2,0.1,negative_log,10,3.398803051549863,0.07220463474349484,0.07142857142857142,0.1224390243902439,0.03745456163095147,1.0,437.0,0.013502659614772605
BATADAL,10,percentile,97.0,4,5,2,2,0.1,negative_log,10,3.418352346281059,0.07220463474349484,0.07142857142857142,0.1224390243902439,0.03745456163095147,1.0,437.0,0.013502659614772605
BATADAL,5,percentile,95.0,4,5,2,2,0.1,negative_log,5,3.3822614240711557,0.07220349610816866,0.07179487179487179,0.1224390243902439,0.037453926202765477,1.0,437.0,0.013502659614772605
BATADAL,3,mean_std,1.0,4,5,2,2,0.1,negative_log,3,2.853804404810909,0.07124764688216464,0.0707070707070707,0.10975609756097562,0.036939775267138174,1.0,437.0,0.013502659614772605
BATADAL,10,percentile,95.0,4,5,2,2,0.1,negative_log,10,3.2174778504664125,0.07113997113997114,0.0707070707070707,0.10829268292682928,0.036881908086096565,1.0,437.0,0.013502659614772605
BATADAL,5,mean_std,1.0,4,5,2,2,0.1,negative_log,5,2.7476196742767107,0.0702817570439261,0.06965174129353234,0.09658536585365854,0.036420747422680415,1.0,437.0,0.013502659614772605
BATADAL,5,percentile,90.0,4,5,2,2,0.1,negative_log,5,2.7127341661092657,0.0702817570439261,0.06965174129353234,0.09658536585365854,0.036420747422680415,1.0,437.0,0.013502659614772605
BATADAL,3,percentile,90.0,4,5,2,2,0.1,negative_log,3,2.604058913217534,0.07017622940573515,0.06965174129353234,0.0951219512195122,0.03636407643822445,1.0,437.0,0.013502659614772605
BATADAL,10,mean_std,1.0,4,5,2,2,0.1,negative_log,10,2.5819907950667096,0.066225520879907,0.0660377358490566,0.037073170731707315,0.03424677187948351,1.0,437.0,0.013502659614772605
BATADAL,10,percentile,90.0,4,5,2,2,0.1,negative_log,10,2.722600860290806,0.066225520879907,0.0660377358490566,0.037073170731707315,0.03424677187948351,1.0,437.0,0.013502659614772605
BATADAL,1,percentile,99.0,4,5,2,2,0.1,negative_log,1,7.007271477110241,0.0,0.0,0.9658536585365853,0.0,0.0,437.0,0.013502659614772605
SKAB,10,mean_std,1.0,5,5,2,1,0.1,negative_log,10,1.5642958632594566,0.32842788604898,0.20722891566265061,0.5624903897762457,0.40197644687979633,0.347959025850816,431.0,0.013312386893514805
SKAB,1,mean_std,1.0,5,5,2,1,0.1,negative_log,1,1.8137916962483465,0.31282507036354107,0.18762475049900199,0.5911032783305626,0.4126805147043185,0.28637764732115495,431.0,0.013312386893514805
