dataset,threshold_candidate,window_size,alphabet_size,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,scoring_mode,stability_f1_mean,stability_f1_min,accuracy_mean,precision_mean,recall_mean,num_contexts_mean,transition_density_mean
BATADAL,6.907755,4,5,2,2,0.1,negative_log,0.16996419289269823,0.16326530612244897,0.8092682926829268,0.09984186545162155,0.5714285714285714,437.0,0.013502659614772605
BATADAL,6.0,4,5,2,2,0.1,negative_log,0.13098469777475594,0.12698412698412698,0.7409756097560976,0.07397442529518002,0.5714285714285714,437.0,0.013502659614772605
BATADAL,5.0,4,5,2,2,0.1,negative_log,0.08615530838334969,0.08536585365853659,0.275609756097561,0.045016911381201494,1.0,437.0,0.013502659614772605
BATADAL,4.0,4,5,2,2,0.1,negative_log,0.0844919143093878,0.08383233532934131,0.26,0.044109445903988534,1.0,437.0,0.013502659614772605
BATADAL,7.5,4,5,2,2,0.1,negative_log,0.0,0.0,0.9658536585365853,0.0,0.0,437.0,0.013502659614772605
BATADAL,8.0,4,5,2,2,0.1,negative_log,0.0,0.0,0.9658536585365853,0.0,0.0,437.0,0.013502659614772605
BATADAL,9.0,4,5,2,2,0.1,negative_log,0.0,0.0,0.9658536585365853,0.0,0.0,437.0,0.013502659614772605
BATADAL,10.0,4,5,2,2,0.1,negative_log,0.0,0.0,0.9658536585365853,0.0,0.0,437.0,0.013502659614772605
SKAB,0.1053605,5,5,2,1,0.1,negative_log,0.5798467072099069,0.4090909090909091,0.5142257150932261,0.4227687142495148,0.9273311897106109,431.0,0.013312386893514805
SKAB,0.05,5,5,2,1,0.1,negative_log,0.5558396508256893,0.4090909090909091,0.4638534286885628,0.3986143929392074,0.9273311897106109,431.0,0.013312386893514805
SKAB,0.5,5,5,2,1,0.1,negative_log,0.4964295221831508,0.3403693931398417,0.5437020078394293,0.426627541748681,0.6246128961867748,431.0,0.013312386893514805
SKAB,0.35,5,5,2,1,0.1,negative_log,0.4837950462131665,0.3433029908972692,0.5152626403666646,0.3926949246410456,0.6456332529580926,431.0,0.013312386893514805
SKAB,0.2,5,5,2,1,0.1,negative_log,0.47939391467060233,0.3271375464684015,0.5046770922836428,0.38664228036871207,0.6458809309766685,431.0,0.013312386893514805
SKAB,0.7,5,5,2,1,0.1,negative_log,0.46644855244845007,0.31860776439089694,0.5447381815085709,0.41828248476463215,0.5611699272447171,431.0,0.013312386893514805
SKAB,0.9,5,5,2,1,0.1,negative_log,0.4178343588838275,0.30837004405286345,0.5440405419455594,0.39873717743929477,0.4753884041858681,431.0,0.013312386893514805
SKAB,1.2,5,5,2,1,0.1,negative_log,0.36923719742466915,0.2783171521035599,0.5540310378037397,0.3876298388676494,0.3876195921358026,431.0,0.013312386893514805
SKAB,1.5,5,5,2,1,0.1,negative_log,0.34489992721022944,0.24356775300171526,0.5760535488221773,0.4024937737440137,0.3365559740816415,431.0,0.013312386893514805
