dataset,threshold_candidate,scenario,window_size,alphabet_size,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,scoring_mode,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,f1_score_min,num_contexts_mean,transition_density_mean
BATADAL,4.0,gaussian_noise,4,5,2,2,0.1,negative_log,0.25658536585365854,0.0026718173536837333,0.04391509433962264,0.0001507098232128986,1.0,0.0,0.08413534377029074,0.00027660759703745485,0.08383233532934131,437.0,0.013502659614772605
BATADAL,4.0,original,4,5,2,2,0.1,negative_log,0.2634146341463415,0.0,0.04430379746835443,0.0,1.0,0.0,0.08484848484848485,0.0,0.08484848484848485,437.0,0.013502659614772605
BATADAL,4.0,unseen_data,4,5,2,2,0.1,negative_log,0.15894039735099338,0.0,0.03787878787878788,0.0,1.0,0.0,0.072992700729927,0.0,0.072992700729927,437.0,0.013502659614772605
BATADAL,5.0,gaussian_noise,4,5,2,2,0.1,negative_log,0.2731707317073171,0.0034493013716417006,0.04487253243982235,0.0002034028553740171,1.0,0.0,0.08589086368027962,0.0003726139233170727,0.08536585365853659,437.0,0.013502659614772605
BATADAL,5.0,original,4,5,2,2,0.1,negative_log,0.2780487804878049,0.0,0.04516129032258064,0.0,1.0,0.0,0.08641975308641975,0.0,0.08641975308641975,437.0,0.013502659614772605
BATADAL,5.0,unseen_data,4,5,2,2,0.1,negative_log,0.17218543046357615,0.0,0.038461538461538464,0.0,1.0,0.0,0.07407407407407407,0.0,0.07407407407407407,437.0,0.013502659614772605
BATADAL,6.0,gaussian_noise,4,5,2,2,0.1,negative_log,0.735609756097561,0.004081268422117437,0.07247715247715247,0.001103893484064664,0.5714285714285714,0.0,0.12863606221617857,0.001737760622288659,0.12698412698412698,437.0,0.013502659614772605
BATADAL,6.0,original,4,5,2,2,0.1,negative_log,0.7463414634146341,0.0,0.07547169811320754,0.0,0.5714285714285714,0.0,0.13333333333333333,0.0,0.13333333333333333,437.0,0.013502659614772605
BATADAL,6.0,unseen_data,4,5,2,2,0.1,negative_log,0.6688741721854304,0.0,0.058823529411764705,0.0,0.6,0.0,0.10714285714285714,0.0,0.10714285714285714,437.0,0.013502659614772605
BATADAL,6.907755,gaussian_noise,4,5,2,2,0.1,negative_log,0.8039024390243903,0.004081268422117437,0.09711962833914053,0.001985349424654273,0.5714285714285714,0.0,0.1660153423071356,0.0028979393617275893,0.16326530612244897,437.0,0.013502659614772605
BATADAL,6.907755,original,4,5,2,2,0.1,negative_log,0.8146341463414635,0.0,0.10256410256410256,0.0,0.5714285714285714,0.0,0.17391304347826086,0.0,0.17391304347826086,437.0,0.013502659614772605
BATADAL,6.907755,unseen_data,4,5,2,2,0.1,negative_log,0.7814569536423841,0.0,0.08823529411764706,0.0,0.6,0.0,0.15384615384615385,0.0,0.15384615384615385,437.0,0.013502659614772605
BATADAL,7.5,gaussian_noise,4,5,2,2,0.1,negative_log,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
BATADAL,7.5,original,4,5,2,2,0.1,negative_log,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
BATADAL,7.5,unseen_data,4,5,2,2,0.1,negative_log,0.9668874172185431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
BATADAL,8.0,gaussian_noise,4,5,2,2,0.1,negative_log,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
BATADAL,8.0,original,4,5,2,2,0.1,negative_log,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
BATADAL,8.0,unseen_data,4,5,2,2,0.1,negative_log,0.9668874172185431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
BATADAL,9.0,gaussian_noise,4,5,2,2,0.1,negative_log,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
BATADAL,9.0,original,4,5,2,2,0.1,negative_log,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
BATADAL,9.0,unseen_data,4,5,2,2,0.1,negative_log,0.9668874172185431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
BATADAL,10.0,gaussian_noise,4,5,2,2,0.1,negative_log,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
BATADAL,10.0,original,4,5,2,2,0.1,negative_log,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
BATADAL,10.0,unseen_data,4,5,2,2,0.1,negative_log,0.9668874172185431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.013502659614772605
SKAB,0.05,gaussian_noise,5,5,2,1,0.1,negative_log,0.4626131186110434,0.11592625041092312,0.39811911892034746,0.06907904264427538,0.9273311897106109,0.14833458785342934,0.5553214642306608,0.08869629271622087,0.4090909090909091,431.0,0.013312386893514805
SKAB,0.05,original,5,5,2,1,0.1,negative_log,0.4650937387660822,0.11468399909765763,0.3991096669580674,0.0688393865340563,0.9273311897106109,0.14833458785342934,0.5563578374207178,0.08866708231090213,0.4090909090909091,431.0,0.013312386893514805
SKAB,0.05,unseen_data,5,5,2,1,0.1,negative_log,0.18038411623317285,0.21772957162485754,0.18038411623317285,0.21772957162485754,0.6,0.5,0.2558823316829894,0.28288976189752696,0.0,431.0,0.013312386893514805
SKAB,0.1053605,gaussian_noise,5,5,2,1,0.1,negative_log,0.5129627035401108,0.11438349560206407,0.4222642521250751,0.07231312883155043,0.9273311897106109,0.14833458785342934,0.5793200595826324,0.09438494945461966,0.4090909090909091,431.0,0.013312386893514805
SKAB,0.1053605,original,5,5,2,1,0.1,negative_log,0.5154887266463414,0.11189895322549295,0.4232731763739544,0.0717053061436201,0.9273311897106109,0.14833458785342934,0.5803733548371814,0.09405047322233624,0.4095139607032058,431.0,0.013312386893514805
SKAB,0.1053605,unseen_data,5,5,2,1,0.1,negative_log,0.18038411623317285,0.21772957162485754,0.18038411623317285,0.21772957162485754,0.6,0.5,0.2558823316829894,0.28288976189752696,0.0,431.0,0.013312386893514805
SKAB,0.2,gaussian_noise,5,5,2,1,0.1,negative_log,0.505813299405137,0.06492460908111836,0.3884633326842529,0.05733448340084441,0.6495451046789458,0.1720724491276348,0.4815928671477323,0.07780268967105389,0.3271375464684015,431.0,0.013312386893514805
SKAB,0.2,original,5,5,2,1,0.1,negative_log,0.5035408851621486,0.0636526828715091,0.3848212280531712,0.0590608651500348,0.6422167572743912,0.17450732667918506,0.4771949621934724,0.0823356995294343,0.3374384236453202,431.0,0.013312386893514805
SKAB,0.2,unseen_data,5,5,2,1,0.1,negative_log,0.18038411623317285,0.21772957162485754,0.18038411623317285,0.21772957162485754,0.6,0.5,0.2558823316829894,0.28288976189752696,0.0,431.0,0.013312386893514805
SKAB,0.35,gaussian_noise,5,5,2,1,0.1,negative_log,0.5161273449580756,0.0528435770844405,0.3943518134834772,0.05019597287543559,0.6490497486417941,0.17210236930655692,0.4858215310454493,0.07270285924665554,0.3433029908972692,431.0,0.013312386893514805
SKAB,0.35,original,5,5,2,1,0.1,negative_log,0.5143979357752536,0.0500345531245031,0.391038035798614,0.05140883929642378,0.6422167572743912,0.17450732667918506,0.4817685613808837,0.07702808088923133,0.35263835263835264,431.0,0.013312386893514805
SKAB,0.35,unseen_data,5,5,2,1,0.1,negative_log,0.18038411623317285,0.21772957162485754,0.18038411623317285,0.21772957162485754,0.6,0.5,0.2558823316829894,0.28288976189752696,0.0,431.0,0.013312386893514805
SKAB,0.5,gaussian_noise,5,5,2,1,0.1,negative_log,0.5433080001947047,0.09939225135386341,0.42709653570701056,0.10592683591362077,0.6273060676969899,0.16362852998375357,0.49729931243939846,0.08735183335193268,0.3403693931398417,431.0,0.013312386893514805
SKAB,0.5,original,5,5,2,1,0.1,negative_log,0.5440960154841541,0.09933834768007542,0.4261585477903514,0.10840345518902732,0.6219197246765598,0.1630070175921503,0.4955597319269032,0.09173624953871082,0.3541666666666667,431.0,0.013312386893514805
SKAB,0.5,unseen_data,5,5,2,1,0.1,negative_log,0.18038411623317285,0.21772957162485754,0.18038411623317285,0.21772957162485754,0.6,0.5,0.2558823316829894,0.28288976189752696,0.0,431.0,0.013312386893514805
SKAB,0.7,gaussian_noise,5,5,2,1,0.1,negative_log,0.5424301637183511,0.09125857504965808,0.4164687746117206,0.10289243390206637,0.5613613583507293,0.1850881121112357,0.4651088047723848,0.08945199285117796,0.31860776439089694,431.0,0.013312386893514805
SKAB,0.7,original,5,5,2,1,0.1,negative_log,0.5470461992987905,0.08904212041145271,0.4200961949175437,0.10318613369007111,0.560978496138705,0.1801327961266414,0.4677883001245153,0.08822063988022978,0.3383356070941337,431.0,0.013312386893514805
SKAB,0.7,unseen_data,5,5,2,1,0.1,negative_log,0.1817387364557176,0.21412962276122685,0.1779587858535227,0.21647502958469056,0.5857142857142857,0.4888205992297098,0.25178498503012764,0.27990882918886306,0.0,431.0,0.013312386893514805
SKAB,0.9,gaussian_noise,5,5,2,1,0.1,negative_log,0.5431895022426311,0.07061504850650553,0.39863094403560084,0.08573503600790112,0.4778904879381596,0.20362613681547562,0.41861294879764993,0.08838851259766739,0.30837004405286345,431.0,0.013312386893514805
SKAB,0.9,original,5,5,2,1,0.1,negative_log,0.5448915816484877,0.06930108854874724,0.3988434108429886,0.0868794573625561,0.4728863204335766,0.20142600777412198,0.4170557689700051,0.08903692924224543,0.32599118942731276,431.0,0.013312386893514805
SKAB,0.9,unseen_data,5,5,2,1,0.1,negative_log,0.18203515562006128,0.20949260912950282,0.17281630305946416,0.2138810856610032,0.555256064690027,0.4692683860311914,0.2426984126984127,0.27391321554730713,0.0,431.0,0.013312386893514805
SKAB,1.2,gaussian_noise,5,5,2,1,0.1,negative_log,0.5557422810580144,0.059577496619339275,0.3907359715060538,0.08580069072473874,0.3927427593369899,0.20038437491301003,0.37320555154764984,0.09918070978023989,0.2783171521035599,431.0,0.013312386893514805
SKAB,1.2,original,5,5,2,1,0.1,negative_log,0.5523197945494651,0.0582644157146032,0.38452370622924514,0.08131230114525433,0.3824964249346154,0.1951097621731707,0.3652688433016886,0.09636200386567434,0.2932098765432099,431.0,0.013312386893514805
