candidate_id,window_size,alphabet_size,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,anomaly_threshold,scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,f1_score_min,num_contexts_mean,transition_density_mean
291,5,5,2,1,0.1,0.9,original,0.5154887266463414,0.12257916168563605,0.4232731763739544,0.078549227335349,0.9273311897106108,0.16249239965111012,0.5803733548371814,0.10302713145581831,0.4095139607032058,431.0,0.013312386893514805
297,5,5,2,2,0.1,0.9,original,0.5154887266463414,0.12257916168563605,0.4232731763739544,0.078549227335349,0.9273311897106108,0.16249239965111012,0.5803733548371814,0.10302713145581831,0.4095139607032058,431.0,0.013312386893514805
303,5,5,3,1,0.1,0.9,original,0.5139368575514995,0.12376611945548589,0.42259867942826423,0.07876176715242837,0.9273311897106108,0.16249239965111012,0.5796867503145762,0.10309584498065277,0.4095139607032058,884.4,0.011447932808683146
309,5,5,3,2,0.1,0.9,original,0.5139368575514995,0.12376611945548589,0.42259867942826423,0.07876176715242837,0.9273311897106108,0.16249239965111012,0.5796867503145762,0.10309584498065277,0.4095139607032058,884.4,0.011447932808683146
315,5,5,4,1,0.1,0.9,original,0.5123849884566578,0.1250085167408537,0.42193195767782443,0.07898615589178258,0.9273311897106108,0.16249239965111012,0.5790059734861887,0.10317696662487884,0.4095139607032058,1561.0,0.010293507332427062
321,5,5,4,2,0.1,0.9,original,0.5123849884566578,0.1250085167408537,0.42193195767782443,0.07898615589178258,0.9273311897106108,0.16249239965111012,0.5790059734861887,0.10317696662487884,0.4095139607032058,1561.0,0.010293507332427062
171,4,4,4,1,0.1,0.9,original,0.5443074408664559,0.18220488821982703,0.42145245972151296,0.1514727631871936,0.7971923518551842,0.30493388720465603,0.5501197986240565,0.20039209603948122,0.19507575757575757,746.4,0.030585290832388777
177,4,4,4,2,0.1,0.9,original,0.5448436338959465,0.18260261340571943,0.42177056952470504,0.15175435797767714,0.795688592456688,0.30390135558717124,0.5500909780183053,0.20052061653279668,0.19507575757575757,746.4,0.030585290832388777
159,4,4,3,1,0.1,0.9,original,0.5471530573606364,0.1817836689806822,0.4221827778465963,0.15301227334181242,0.7861960051429426,0.3037210828146652,0.5481830761145773,0.201711016234236,0.19083969465648856,385.2,0.033551219709951556
165,4,4,3,2,0.1,0.9,original,0.5475105193802967,0.18204824765181926,0.42240233660758575,0.15320167624645217,0.7851934988772784,0.3030325663116655,0.5481630790479517,0.20179146506587542,0.19083969465648856,385.2,0.033551219709951556
147,4,4,2,1,0.1,0.9,original,0.5498230213844233,0.18088885120150847,0.4228764029723423,0.1544095281816655,0.7772146710245297,0.30532394578752875,0.5464316623663154,0.203100206705518,0.1867179980750722,173.0,0.038535113877933784
153,4,4,2,2,0.1,0.9,original,0.5500017523942534,0.18102251813771766,0.4229923046100069,0.15450665711748868,0.7767134178916976,0.3049405812737822,0.546425240575166,0.20313447905457643,0.1867179980750722,173.0,0.038535113877933784
174,4,4,4,1,0.5,0.9,original,0.5207600541659105,0.19232969452963566,0.41074991732698185,0.1531901350362892,0.8001998706521766,0.307022291299503,0.5400560224867046,0.19943567528662293,0.19379115710253997,746.4,0.030585290832388777
180,4,4,4,2,0.5,0.9,original,0.5212962471954011,0.19279151257202978,0.41101884375190095,0.15355090796896423,0.7986961112536803,0.30593829757252194,0.5400213506039441,0.19968370921151093,0.19379115710253997,746.4,0.030585290832388777
201,4,5,3,2,0.1,0.9,original,0.4762284425989921,0.23013166111943856,0.396198889086429,0.1507454928278291,0.8521303258145363,0.3100585925304154,0.5391109771027469,0.19930833873040257,0.1946034341782502,586.0,0.021220055304000222
195,4,5,3,1,0.1,0.9,original,0.47551731126014507,0.22996972339199206,0.3958040740785574,0.15055518927132902,0.8521303258145363,0.3100585925304154,0.5387412415253177,0.19914249629980982,0.1946034341782502,586.0,0.021220055304000222
213,4,5,4,2,0.1,0.9,original,0.47374254794329085,0.2291106029361698,0.39494124158188443,0.1496083696948348,0.8531328320802004,0.30916389533941957,0.5381391721979403,0.19810921612696827,0.19607843137254902,1120.4,0.019225564730658975
258,5,4,2,1,0.5,0.9,original,0.42605058718810407,0.11030110432429593,0.3805471226966625,0.06612212617567825,0.9273311897106108,0.16249239965111012,0.5378503048598762,0.08685666929577374,0.4095139607032058,302.0,0.019642362495158903
264,5,4,2,2,0.5,0.9,original,0.42605058718810407,0.11030110432429593,0.3805471226966625,0.06612212617567825,0.9273311897106108,0.16249239965111012,0.5378503048598762,0.08685666929577374,0.4095139607032058,302.0,0.019642362495158903
162,4,4,3,1,0.5,0.9,original,0.5221823438619516,0.1921143574007764,0.4106580741534696,0.1547019775130062,0.7907072833384313,0.3068494195261712,0.5377588958419283,0.2007054554854085,0.1892147587511826,385.2,0.033551219709951556
