fold,seed,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,distance_penalty,min_anomaly_run,min_validation_recall,selected_threshold,minimum_block_length,minimum_sum_margin,baseline_selected,block_validation_precision,block_validation_recall,block_validation_f1,test_removed_true_positive_count,test_removed_false_positive_count,length_candidates,sum_margin_candidates
1,42,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,0.4953789279112754,0.9115646258503401,0.6419161676646706,142,351,"[7, 8, 9, 10, 12, 15]","[0.0, 0.3467990145712656, 1.4361241559211069, 3.3448967682213118, 5.0068113207695895, 5.849678168580184, 6.156025074985606, 6.345740363499309, 6.748559009886638]"
1,123,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,0.4953789279112754,0.9115646258503401,0.6419161676646706,142,351,"[7, 8, 9, 10, 12, 15]","[0.0, 0.3467990145712656, 1.4361241559211069, 3.3448967682213118, 5.0068113207695895, 5.849678168580184, 6.156025074985606, 6.345740363499309, 6.748559009886638]"
1,2026,4,3,0.01,5,0.1,1.0,8,0.7,-0.0013683031823821697,13,0.0,False,0.41480206540447506,0.8197278911564626,0.5508571428571428,8,47,"[8, 9, 10, 11, 13, 16]","[0.0, 0.44081940180878193, 0.8211027004923469, 1.2276738726784926, 1.5774806744568737, 1.9317470462739288, 2.286013418090984, 3.2587431073029465]"
1,7,4,3,0.01,5,0.1,1.0,8,0.7,-0.0013683031823821697,13,0.0,False,0.41480206540447506,0.8197278911564626,0.5508571428571428,8,47,"[8, 9, 10, 11, 13, 16]","[0.0, 0.44081940180878193, 0.8211027004923469, 1.2276738726784926, 1.5774806744568737, 1.9317470462739288, 2.286013418090984, 3.2587431073029465]"
1,999,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,0.4953789279112754,0.9115646258503401,0.6419161676646706,142,351,"[7, 8, 9, 10, 12, 15]","[0.0, 0.3467990145712656, 1.4361241559211069, 3.3448967682213118, 5.0068113207695895, 5.849678168580184, 6.156025074985606, 6.345740363499309, 6.748559009886638]"
2,42,4,3,0.01,2,0.1,0.0,4,0.7,-0.04838031354600325,4,4.102933569665197,False,0.4090909090909091,0.8907849829351536,0.560687432867884,92,217,"[4, 5, 6, 7, 9, 12]","[0.0, 0.41328085612421, 0.8861673899702041, 1.122777973002353, 1.1767282138501898, 2.3686328299826513, 4.102933569665197, 6.373592049449898, 15.389424754548045]"
2,123,4,3,0.01,2,0.1,0.0,4,0.7,-0.04838031354600325,4,4.102933569665197,False,0.4090909090909091,0.8907849829351536,0.560687432867884,92,217,"[4, 5, 6, 7, 9, 12]","[0.0, 0.41328085612421, 0.8861673899702041, 1.122777973002353, 1.1767282138501898, 2.3686328299826513, 4.102933569665197, 6.373592049449898, 15.389424754548045]"
2,2026,4,3,0.1,10,0.5,0.0,1,0.7,-2.1133979164151095,1,0.0,True,0.3589435774309724,1.0,0.5282685512367491,0,0,"[1, 2, 3, 4, 6, 9]","[0.0, 454.0109976769852, 492.90651033280994, 531.8020229886347, 536.9214490715631, 542.0408751544915, 544.6005881959557, 547.1603012374197, 552.2797273203481]"
2,7,4,3,0.1,10,0.5,0.0,1,0.7,-2.1133979164151095,1,0.0,True,0.3589435774309724,1.0,0.5282685512367491,0,0,"[1, 2, 3, 4, 6, 9]","[0.0, 454.0109976769852, 492.90651033280994, 531.8020229886347, 536.9214490715631, 542.0408751544915, 544.6005881959557, 547.1603012374197, 552.2797273203481]"
2,999,4,3,0.01,2,0.1,0.0,1,0.7,-4.4788379426633576,1,0.0,True,0.3581730769230769,1.0,0.5274336283185841,0,0,"[1, 2, 3, 4, 6, 9]","[0.0, 1079.5616514699036, 1142.4474628628072, 1205.333274255711, 1209.4053866007623, 1213.4774989458135, 1215.5135551183394, 1217.549611290865, 1221.6217236359162]"
