dataset,fold,seed,method,scenario,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,distance_penalty,min_anomaly_run,min_validation_recall,selected_threshold,minimum_block_length,minimum_sum_margin,baseline_selected,sample_count,actual_anomaly_count,unseen_count,accuracy,precision,recall,f1_score
SKAB,1,42,persistence_baseline,original,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,1115,400,2,0.3901345291479821,0.3372093023255814,0.725,0.4603174603174603
SKAB,1,42,persistence_plus_block_confidence,original,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,1115,400,2,0.5775784753363229,0.4032697547683924,0.37,0.3859191655801825
SKAB,1,42,persistence_baseline,gaussian_noise,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,1115,400,2,0.379372197309417,0.32660332541567694,0.6875,0.4428341384863124
SKAB,1,42,persistence_plus_block_confidence,gaussian_noise,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,1115,400,2,0.5775784753363229,0.4032697547683924,0.37,0.3859191655801825
SKAB,1,42,persistence_baseline,unseen_data,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,2,0,2,1.0,0.0,0.0,0.0
SKAB,1,42,persistence_plus_block_confidence,unseen_data,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,2,0,2,1.0,0.0,0.0,0.0
SKAB,1,123,persistence_baseline,original,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,1115,400,2,0.3901345291479821,0.3372093023255814,0.725,0.4603174603174603
SKAB,1,123,persistence_plus_block_confidence,original,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,1115,400,2,0.5775784753363229,0.4032697547683924,0.37,0.3859191655801825
SKAB,1,123,persistence_baseline,gaussian_noise,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,1115,400,2,0.38385650224215245,0.3301775147928994,0.6975,0.44819277108433736
SKAB,1,123,persistence_plus_block_confidence,gaussian_noise,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,1115,400,2,0.5775784753363229,0.4032697547683924,0.37,0.3859191655801825
SKAB,1,123,persistence_baseline,unseen_data,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,2,0,2,1.0,0.0,0.0,0.0
SKAB,1,123,persistence_plus_block_confidence,unseen_data,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,2,0,2,1.0,0.0,0.0,0.0
SKAB,1,2026,persistence_baseline,original,4,3,0.01,5,0.1,1.0,8,0.7,-0.0013683031823821697,13,0.0,False,1115,400,3,0.3524663677130045,0.3170454545454545,0.6975,0.4359375
SKAB,1,2026,persistence_plus_block_confidence,original,4,3,0.01,5,0.1,1.0,8,0.7,-0.0013683031823821697,13,0.0,False,1115,400,3,0.3874439461883408,0.3284848484848485,0.6775,0.4424489795918367
SKAB,1,2026,persistence_baseline,gaussian_noise,4,3,0.01,5,0.1,1.0,8,0.7,-0.0013683031823821697,13,0.0,False,1115,400,3,0.33901345291479823,0.3083048919226394,0.6775,0.42376856919468336
SKAB,1,2026,persistence_plus_block_confidence,gaussian_noise,4,3,0.01,5,0.1,1.0,8,0.7,-0.0013683031823821697,13,0.0,False,1115,400,3,0.39103139013452914,0.33008526187576126,0.6775,0.4438984438984439
SKAB,1,2026,persistence_baseline,unseen_data,4,3,0.01,5,0.1,1.0,8,0.7,-0.0013683031823821697,13,0.0,False,3,0,3,1.0,0.0,0.0,0.0
SKAB,1,2026,persistence_plus_block_confidence,unseen_data,4,3,0.01,5,0.1,1.0,8,0.7,-0.0013683031823821697,13,0.0,False,3,0,3,1.0,0.0,0.0,0.0
SKAB,1,7,persistence_baseline,original,4,3,0.01,5,0.1,1.0,8,0.7,-0.0013683031823821697,13,0.0,False,1115,400,3,0.3524663677130045,0.3170454545454545,0.6975,0.4359375
SKAB,1,7,persistence_plus_block_confidence,original,4,3,0.01,5,0.1,1.0,8,0.7,-0.0013683031823821697,13,0.0,False,1115,400,3,0.3874439461883408,0.3284848484848485,0.6775,0.4424489795918367
SKAB,1,7,persistence_baseline,gaussian_noise,4,3,0.01,5,0.1,1.0,8,0.7,-0.0013683031823821697,13,0.0,False,1115,400,3,0.35336322869955156,0.3218645948945616,0.725,0.4458109146810146
SKAB,1,7,persistence_plus_block_confidence,gaussian_noise,4,3,0.01,5,0.1,1.0,8,0.7,-0.0013683031823821697,13,0.0,False,1115,400,3,0.3865470852017937,0.33254716981132076,0.705,0.4519230769230769
SKAB,1,7,persistence_baseline,unseen_data,4,3,0.01,5,0.1,1.0,8,0.7,-0.0013683031823821697,13,0.0,False,3,0,3,1.0,0.0,0.0,0.0
SKAB,1,7,persistence_plus_block_confidence,unseen_data,4,3,0.01,5,0.1,1.0,8,0.7,-0.0013683031823821697,13,0.0,False,3,0,3,1.0,0.0,0.0,0.0
SKAB,1,999,persistence_baseline,original,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,1115,400,2,0.3901345291479821,0.3372093023255814,0.725,0.4603174603174603
SKAB,1,999,persistence_plus_block_confidence,original,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,1115,400,2,0.5775784753363229,0.4032697547683924,0.37,0.3859191655801825
SKAB,1,999,persistence_baseline,gaussian_noise,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,1115,400,2,0.3883408071748879,0.3356643356643357,0.72,0.4578696343402226
SKAB,1,999,persistence_plus_block_confidence,gaussian_noise,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,1115,400,2,0.5775784753363229,0.4032697547683924,0.37,0.3859191655801825
SKAB,1,999,persistence_baseline,unseen_data,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,2,0,2,1.0,0.0,0.0,0.0
SKAB,1,999,persistence_plus_block_confidence,unseen_data,4,3,0.01,10,1.0,0.0,7,0.7,-0.030764417773082642,7,5.0068113207695895,False,2,0,2,1.0,0.0,0.0,0.0
SKAB,2,42,persistence_baseline,original,4,3,0.01,2,0.1,0.0,4,0.7,-0.04838031354600325,4,4.102933569665197,False,1110,398,2,0.46216216216216216,0.39470899470899473,0.9371859296482412,0.5554728220402085
SKAB,2,42,persistence_plus_block_confidence,original,4,3,0.01,2,0.1,0.0,4,0.7,-0.04838031354600325,4,4.102933569665197,False,1110,398,2,0.5747747747747748,0.4418238993710692,0.7060301507537688,0.5435203094777563
SKAB,2,42,persistence_baseline,gaussian_noise,4,3,0.01,2,0.1,0.0,4,0.7,-0.04838031354600325,4,4.102933569665197,False,1110,398,2,0.46306306306306305,0.3951271186440678,0.9371859296482412,0.555886736214605
SKAB,2,42,persistence_plus_block_confidence,gaussian_noise,4,3,0.01,2,0.1,0.0,4,0.7,-0.04838031354600325,4,4.102933569665197,False,1110,398,2,0.5801801801801801,0.4473684210526316,0.7261306532663316,0.553639846743295
SKAB,2,42,persistence_baseline,unseen_data,4,3,0.01,2,0.1,0.0,4,0.7,-0.04838031354600325,4,4.102933569665197,False,2,0,2,0.0,0.0,0.0,0.0
SKAB,2,42,persistence_plus_block_confidence,unseen_data,4,3,0.01,2,0.1,0.0,4,0.7,-0.04838031354600325,4,4.102933569665197,False,2,0,2,0.0,0.0,0.0,0.0
SKAB,2,123,persistence_baseline,original,4,3,0.01,2,0.1,0.0,4,0.7,-0.04838031354600325,4,4.102933569665197,False,1110,398,2,0.46216216216216216,0.39470899470899473,0.9371859296482412,0.5554728220402085
SKAB,2,123,persistence_plus_block_confidence,original,4,3,0.01,2,0.1,0.0,4,0.7,-0.04838031354600325,4,4.102933569665197,False,1110,398,2,0.5747747747747748,0.4418238993710692,0.7060301507537688,0.5435203094777563
SKAB,2,123,persistence_baseline,gaussian_noise,4,3,0.01,2,0.1,0.0,4,0.7,-0.04838031354600325,4,4.102933569665197,False,1110,398,1,0.46396396396396394,0.3955461293743372,0.9371859296482412,0.5563012677106637
SKAB,2,123,persistence_plus_block_confidence,gaussian_noise,4,3,0.01,2,0.1,0.0,4,0.7,-0.04838031354600325,4,4.102933569665197,False,1110,398,1,0.5747747747747748,0.4418238993710692,0.7060301507537688,0.5435203094777563
SKAB,2,123,persistence_baseline,unseen_data,4,3,0.01,2,0.1,0.0,4,0.7,-0.04838031354600325,4,4.102933569665197,False,2,0,2,0.0,0.0,0.0,0.0
SKAB,2,123,persistence_plus_block_confidence,unseen_data,4,3,0.01,2,0.1,0.0,4,0.7,-0.04838031354600325,4,4.102933569665197,False,2,0,2,0.0,0.0,0.0,0.0
SKAB,2,2026,persistence_baseline,original,4,3,0.1,10,0.5,0.0,1,0.7,-2.1133979164151095,1,0.0,True,1110,398,2,0.35855855855855856,0.35855855855855856,1.0,0.5278514588859416
SKAB,2,2026,persistence_plus_block_confidence,original,4,3,0.1,10,0.5,0.0,1,0.7,-2.1133979164151095,1,0.0,True,1110,398,2,0.35855855855855856,0.35855855855855856,1.0,0.5278514588859416
SKAB,2,2026,persistence_baseline,gaussian_noise,4,3,0.1,10,0.5,0.0,1,0.7,-2.1133979164151095,1,0.0,True,1110,398,2,0.35855855855855856,0.35855855855855856,1.0,0.5278514588859416
SKAB,2,2026,persistence_plus_block_confidence,gaussian_noise,4,3,0.1,10,0.5,0.0,1,0.7,-2.1133979164151095,1,0.0,True,1110,398,2,0.35855855855855856,0.35855855855855856,1.0,0.5278514588859416
SKAB,2,2026,persistence_baseline,unseen_data,4,3,0.1,10,0.5,0.0,1,0.7,-2.1133979164151095,1,0.0,True,2,0,2,0.0,0.0,0.0,0.0
SKAB,2,2026,persistence_plus_block_confidence,unseen_data,4,3,0.1,10,0.5,0.0,1,0.7,-2.1133979164151095,1,0.0,True,2,0,2,0.0,0.0,0.0,0.0
SKAB,2,7,persistence_baseline,original,4,3,0.1,10,0.5,0.0,1,0.7,-2.1133979164151095,1,0.0,True,1110,398,2,0.35855855855855856,0.35855855855855856,1.0,0.5278514588859416
SKAB,2,7,persistence_plus_block_confidence,original,4,3,0.1,10,0.5,0.0,1,0.7,-2.1133979164151095,1,0.0,True,1110,398,2,0.35855855855855856,0.35855855855855856,1.0,0.5278514588859416
SKAB,2,7,persistence_baseline,gaussian_noise,4,3,0.1,10,0.5,0.0,1,0.7,-2.1133979164151095,1,0.0,True,1110,398,2,0.35855855855855856,0.35855855855855856,1.0,0.5278514588859416
