dataset,model,fold,seed,scenario,window_size,alphabet_size,normal_merge_alpha,normal_min_state_count,normal_smoothing_alpha,anomaly_merge_alpha,anomaly_min_state_count,anomaly_smoothing_alpha,normal_distance_penalty,anomaly_distance_penalty,selected_threshold,min_anomaly_run,validation_f1,validation_recall,validation_recall_constraint_met,selected_pair_shared_parameters,final_training_scope,inner_splitter,inner_split_id,inner_train_file_count,inner_validation_file_count,test_file_count,sample_count,actual_anomaly_count,unseen_count,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count,accuracy,precision,recall,f1_score
SKAB,class_specific_dual_alergia,1,42,original,4,3,0.01,2,0.1,0.01,10,1.0,0.0,2.0,-0.2946507417678742,10,0.5530612244897959,0.9217687074829932,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,2,36,17,38,0.1314878892733564,28,22,44,0.09090909090909091,64,39,82,0.40717488789237666,0.337888198757764,0.68,0.45145228215767635
SKAB,class_specific_dual_alergia,1,42,gaussian_noise,4,3,0.01,2,0.1,0.01,10,1.0,0.0,2.0,-0.2946507417678742,10,0.5530612244897959,0.9217687074829932,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,2,36,17,38,0.1314878892733564,28,22,44,0.09090909090909091,64,39,82,0.41524663677130047,0.3417085427135678,0.68,0.45484949832775917
SKAB,class_specific_dual_alergia,1,42,unseen_data,4,3,0.01,2,0.1,0.01,10,1.0,0.0,2.0,-0.2946507417678742,10,0.5530612244897959,0.9217687074829932,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,36,17,38,0.1314878892733564,28,22,44,0.09090909090909091,64,39,82,1.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,1,123,original,4,3,0.01,2,0.1,0.01,10,1.0,0.0,2.0,-0.2946507417678742,10,0.5530612244897959,0.9217687074829932,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,2,36,17,38,0.1314878892733564,28,22,44,0.09090909090909091,64,39,82,0.40717488789237666,0.337888198757764,0.68,0.45145228215767635
SKAB,class_specific_dual_alergia,1,123,gaussian_noise,4,3,0.01,2,0.1,0.01,10,1.0,0.0,2.0,-0.2946507417678742,10,0.5530612244897959,0.9217687074829932,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,2,36,17,38,0.1314878892733564,28,22,44,0.09090909090909091,64,39,82,0.4134529147982063,0.34045226130653267,0.6775,0.4531772575250836
SKAB,class_specific_dual_alergia,1,123,unseen_data,4,3,0.01,2,0.1,0.01,10,1.0,0.0,2.0,-0.2946507417678742,10,0.5530612244897959,0.9217687074829932,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,36,17,38,0.1314878892733564,28,22,44,0.09090909090909091,64,39,82,1.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,1,2026,original,4,3,0.05,2,0.1,0.05,10,0.5,0.0,0.25,-0.2477628607780888,12,0.5513392857142857,0.8401360544217688,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,3,33,16,38,0.1484375,28,22,45,0.09297520661157024,61,38,83,0.39282511210762333,0.3308913308913309,0.6775,0.4446267432321575
SKAB,class_specific_dual_alergia,1,2026,gaussian_noise,4,3,0.05,2,0.1,0.05,10,0.5,0.0,0.25,-0.2477628607780888,12,0.5513392857142857,0.8401360544217688,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,3,33,16,38,0.1484375,28,22,45,0.09297520661157024,61,38,83,0.38565022421524664,0.32769044740024184,0.6775,0.4417277913610432
SKAB,class_specific_dual_alergia,1,2026,unseen_data,4,3,0.05,2,0.1,0.05,10,0.5,0.0,0.25,-0.2477628607780888,12,0.5513392857142857,0.8401360544217688,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,3,0,3,33,16,38,0.1484375,28,22,45,0.09297520661157024,61,38,83,0.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,1,7,original,4,3,0.05,2,0.1,0.05,10,0.5,0.0,0.25,-0.2477628607780888,12,0.5513392857142857,0.8401360544217688,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,3,33,16,38,0.1484375,28,22,45,0.09297520661157024,61,38,83,0.39282511210762333,0.3308913308913309,0.6775,0.4446267432321575
