fold,scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,unseen_count_mean,unseen_count_std
1,gaussian_noise,0.40197309417040356,0.013473825303462675,0.3360427155063097,0.0055908204956539986,0.683,0.012424773639789144,0.4504017116975903,0.005336039256467032,2.4,0.5477225575051661
1,original,0.4014349775784753,0.00785969589245079,0.33508945161119075,0.003832342362328466,0.679,0.0013693063937629537,0.4487220665874688,0.0037385016366362524,2.4,0.5477225575051661
1,unseen_data,0.6,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.5477225575051661
2,gaussian_noise,0.4340540540540541,0.10269954159826201,0.38811436140550065,0.04046786216775629,0.9376884422110553,0.0844123887678252,0.5455433758817978,0.024648571739355824,1.8,0.4472135954999579
2,original,0.43549549549549554,0.10412247662626664,0.38924251929554154,0.04157411638742058,0.9417085427135679,0.07981886516406944,0.5474297890276578,0.026331977199017944,2.0,0.0
2,unseen_data,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
3,gaussian_noise,0.5251125112511251,0.10277711574797638,0.42082407561957147,0.048583943868218925,0.7170854271356784,0.17417153569213722,0.5186290901864073,0.0067715261866721915,1.0,0.0
3,original,0.5179117911791179,0.10388263190893102,0.4160981069615568,0.04921343879320625,0.7165829145728643,0.17459509554306563,0.5147014099337974,0.007620849449434134,1.0,0.0
3,unseen_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,gaussian_noise,0.5331506849315069,0.018326380343898958,0.44299275535986543,0.009894996493192094,0.8836538461538461,0.029174810429709173,0.5898878923410139,0.007483165237983542,2.0,0.0
4,original,0.5291324200913242,0.015193888104537232,0.44048240756150603,0.006936564692059569,0.8817307692307692,0.03226889268182665,0.5872203274134401,0.0044282082442046004,2.0,0.0
4,unseen_data,0.4,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
5,gaussian_noise,0.5833631484794275,0.023077963116722444,0.37927411935363803,0.051090919797049474,0.1726618705035971,0.0029370380608910946,0.23642401672183203,0.008215208197537922,0.0,0.0
5,original,0.5740608228980323,0.025475467790937945,0.36029900332225917,0.05322553092035252,0.17266187050359713,0.0,0.23258226084561212,0.01086308402511643,0.0,0.0
5,unseen_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
