metric,value
run_count,25
fold_count,5
seed_count,5
selected_shared_pair_count,1
selected_shared_pair_rate,0.04
unique_normal_configuration_count,8
most_common_normal_configuration_count,6
most_common_normal_configuration_rate,0.24
most_common_normal_configuration,normal_merge_alpha=0.01 | normal_min_state_count=2 | normal_smoothing_alpha=0.1
unique_anomaly_configuration_count,9
most_common_anomaly_configuration_count,10
most_common_anomaly_configuration_rate,0.4
most_common_anomaly_configuration,anomaly_merge_alpha=0.01 | anomaly_min_state_count=10 | anomaly_smoothing_alpha=1.0
unique_full_configuration_count,13
most_common_full_configuration_count,3
most_common_full_configuration_rate,0.12
final_validation_f1_mean,0.560011141139145
final_validation_f1_std,0.024034873013279907
class_specific_validation_gain_mean,0.00610780090963543
class_specific_validation_gain_median,0.003231207098610356
class_specific_pair_better_count,24
original_test_f1_mean,0.46613117076159516
original_test_f1_std,0.1258584295662514
generalization_gap_mean,-0.0938799703775497
generalization_gap_median,-0.03295141664446222
validation_test_f1_correlation,-0.5793170620718836
validation_gain_test_f1_correlation,-0.05122046688136299
