parameter,value,selection_count,selection_rate
normal_merge_alpha,0.01,16,0.64
normal_merge_alpha,0.1,7,0.28
normal_merge_alpha,0.05,2,0.08
normal_min_state_count,2.0,13,0.52
normal_min_state_count,5.0,11,0.44
normal_min_state_count,10.0,1,0.04
normal_smoothing_alpha,0.1,20,0.8
normal_smoothing_alpha,1.0,3,0.12
normal_smoothing_alpha,0.5,2,0.08
anomaly_merge_alpha,0.01,15,0.6
anomaly_merge_alpha,0.05,8,0.32
anomaly_merge_alpha,0.1,2,0.08
anomaly_min_state_count,10.0,17,0.68
anomaly_min_state_count,2.0,6,0.24
anomaly_min_state_count,5.0,2,0.08
anomaly_smoothing_alpha,1.0,17,0.68
anomaly_smoothing_alpha,0.1,5,0.2
anomaly_smoothing_alpha,0.5,3,0.12
normal_distance_penalty,0.0,25,1.0
anomaly_distance_penalty,0.0,11,0.44
anomaly_distance_penalty,0.25,7,0.28
anomaly_distance_penalty,2.0,4,0.16
anomaly_distance_penalty,0.5,3,0.12
min_anomaly_run,12.0,8,0.32
min_anomaly_run,10.0,7,0.28
min_anomaly_run,1.0,4,0.16
min_anomaly_run,8.0,3,0.12
min_anomaly_run,5.0,2,0.08
min_anomaly_run,7.0,1,0.04
