dataset,fold,seed,window_size,alphabet_size,normal_merge_alpha,normal_min_state_count,normal_smoothing_alpha,anomaly_merge_alpha,anomaly_min_state_count,anomaly_smoothing_alpha,normal_distance_penalty,anomaly_distance_penalty,selected_threshold,min_anomaly_run,selected_pair_shared_parameters,best_shared_pair_validation_f1,best_any_pair_validation_f1,final_validation_f1,final_validation_precision,final_validation_recall,validation_recall_constraint_met,validation_selection_mode,validation_mean_file_f1,validation_min_file_f1,validation_std_file_f1,inner_splitter,inner_split_id,inner_train_files,inner_validation_files,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count,original_test_f1,original_test_precision,original_test_recall,generalization_gap,class_specific_validation_gain
SKAB,1,42,4,3,0.01,2,0.1,0.01,10,1.0,0.0,2.0,-0.2946507417678742,10,False,0.5389105058365758,0.541871921182266,0.5530612244897959,0.3950437317784256,0.9217687074829932,True,recall_constrained,0.5831892292490118,0.5142045454545454,0.0689846837944664,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|12.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,13.csv|2.csv,36,17,38,0.1314878892733564,28,22,44,0.0909090909090909,64,39,82,0.4514522821576763,0.337888198757764,0.68,-0.10160894233211959,0.002961415345690166
SKAB,1,123,4,3,0.01,2,0.1,0.01,10,1.0,0.0,2.0,-0.2946507417678742,10,False,0.5389105058365758,0.541871921182266,0.5530612244897959,0.3950437317784256,0.9217687074829932,True,recall_constrained,0.5831892292490118,0.5142045454545454,0.0689846837944664,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|12.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,13.csv|2.csv,36,17,38,0.1314878892733564,28,22,44,0.0909090909090909,64,39,82,0.4514522821576763,0.337888198757764,0.68,-0.10160894233211959,0.002961415345690166
SKAB,1,2026,4,3,0.05,2,0.1,0.05,10,0.5,0.0,0.25,-0.2477628607780888,12,False,0.5269784172661871,0.5300950369588172,0.5513392857142857,0.4102990033222591,0.8401360544217688,True,recall_constrained,0.5837432915921288,0.5232558139534884,0.0604874776386404,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|13.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,12.csv|2.csv,33,16,38,0.1484375,28,22,45,0.0929752066115702,61,38,83,0.4446267432321575,0.3308913308913309,0.6775,-0.10671254248212819,0.003116619692630107
SKAB,1,7,4,3,0.05,2,0.1,0.05,10,0.5,0.0,0.25,-0.2477628607780888,12,False,0.5269784172661871,0.5300950369588172,0.5513392857142857,0.4102990033222591,0.8401360544217688,True,recall_constrained,0.5837432915921288,0.5232558139534884,0.0604874776386404,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|13.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,12.csv|2.csv,33,16,38,0.1484375,28,22,45,0.0929752066115702,61,38,83,0.4446267432321575,0.3308913308913309,0.6775,-0.10671254248212819,0.003116619692630107
SKAB,1,999,4,3,0.01,2,0.1,0.01,10,1.0,0.0,2.0,-0.2946507417678742,10,False,0.5389105058365758,0.541871921182266,0.5530612244897959,0.3950437317784256,0.9217687074829932,True,recall_constrained,0.5831892292490118,0.5142045454545454,0.0689846837944664,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|12.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,13.csv|2.csv,36,17,38,0.1314878892733564,28,22,44,0.0909090909090909,64,39,82,0.4514522821576763,0.337888198757764,0.68,-0.10160894233211959,0.002961415345690166
SKAB,2,42,4,3,0.01,5,0.1,0.01,2,1.0,0.0,0.5,-0.06040912779556,12,False,0.527117031398668,0.5330739299610895,0.542016806722689,0.3915022761760243,0.8805460750853242,True,recall_constrained,0.5647356377213055,0.5207756232686981,0.0439600144526075,StratifiedGroupKFold,1,0.csv|12.csv|13.csv|15.csv|3.csv|4.csv|5.csv|6.csv|7.csv|8.csv|9.csv,11.csv|2.csv,36,18,39,0.1203703703703703,31,7,19,0.3877551020408163,67,25,58,0.576271186440678,0.4347826086956521,0.8542713567839196,0.03425437971798895,0.005956898562421542
SKAB,2,123,4,3,0.01,5,0.1,0.01,2,1.0,0.0,0.5,-0.06040912779556,12,False,0.527117031398668,0.5330739299610895,0.542016806722689,0.3915022761760243,0.8805460750853242,True,recall_constrained,0.5647356377213055,0.5207756232686981,0.0439600144526075,StratifiedGroupKFold,1,0.csv|12.csv|13.csv|15.csv|3.csv|4.csv|5.csv|6.csv|7.csv|8.csv|9.csv,11.csv|2.csv,36,18,39,0.1203703703703703,31,7,19,0.3877551020408163,67,25,58,0.576271186440678,0.4347826086956521,0.8542713567839196,0.03425437971798895,0.005956898562421542
SKAB,2,2026,4,3,0.01,2,0.1,0.1,2,0.1,0.0,0.0,-3.7832251276716495,1,False,0.5559999999999999,0.5728987993138936,0.5282685512367491,0.3589435774309724,1.0,True,recall_constrained,0.5277609986912313,0.5055555555555555,0.015742938109537,StratifiedGroupKFold,5,0.csv|11.csv|13.csv|15.csv|2.csv|3.csv|5.csv|6.csv|7.csv|8.csv,12.csv|4.csv|9.csv,37,13,33,0.1952662721893491,29,12,37,0.2569444444444444,66,25,70,0.5278514588859416,0.3585585585585585,1.0,-0.00041709235080744644,0.01689879931389371
SKAB,2,7,4,3,0.01,2,0.1,0.1,2,0.1,0.0,0.0,-3.7832251276716495,1,False,0.5559999999999999,0.5728987993138936,0.5282685512367491,0.3589435774309724,1.0,True,recall_constrained,0.5277609986912313,0.5055555555555555,0.015742938109537,StratifiedGroupKFold,5,0.csv|11.csv|13.csv|15.csv|2.csv|3.csv|5.csv|6.csv|7.csv|8.csv,12.csv|4.csv|9.csv,37,13,33,0.1952662721893491,29,12,37,0.2569444444444444,66,25,70,0.5278514588859416,0.3585585585585585,1.0,-0.00041709235080744644,0.01689879931389371
SKAB,2,999,4,3,0.01,2,0.1,0.01,2,0.1,0.0,0.0,-2.3870030198070427,10,True,0.5274336283185841,0.5274336283185841,0.5350553505535055,0.3689567430025445,0.9731543624161074,True,recall_constrained,0.5346898571817187,0.5259938837920489,0.0069521684540781,StratifiedGroupKFold,5,0.csv|11.csv|13.csv|15.csv|2.csv|3.csv|5.csv|6.csv|7.csv|9.csv,12.csv|4.csv|8.csv,37,14,36,0.1836734693877551,29,12,33,0.2291666666666666,66,26,69,0.5289036544850498,0.3595302619692863,1.0,-0.00615169606845567,0.0
