dataset,model,seed,fold,threshold,accuracy,precision,recall,f1
SKAB,LSTM,42,1,0.4,0.8693309384822632,0.8872785829307569,0.7137305699481865,0.7910983488872936
SKAB,LSTM,42,2,0.5,0.8818755635707844,0.8058076225045372,0.8677524429967427,0.835633626097867
SKAB,LSTM,42,3,0.5,0.8482525366403608,0.7167338709677419,0.9275929549902152,0.8086437304520898
SKAB,LSTM,42,4,0.4,0.931672760511883,0.975200583515682,0.83458177278402,0.8994281870164816
SKAB,LSTM,42,5,0.5,0.9194089993284084,0.9890625,0.7853598014888338,0.8755186721991701
SKAB,LSTM,123,1,0.4,0.885720700493938,0.9143314651721377,0.7396373056994818,0.8177586824203366
SKAB,LSTM,123,2,0.5,0.8963029756537421,0.8303626306084819,0.8801302931596091,0.8545224541429475
SKAB,LSTM,123,3,0.5,0.914543404735062,0.8522588522588522,0.9106327462491846,0.880479344055503
SKAB,LSTM,123,4,0.4,0.9405850091407678,0.997037037037037,0.8401997503121099,0.9119241192411924
SKAB,LSTM,123,5,0.4,0.9191851354376539,1.0,0.7760545905707196,0.8739084876004192
SKAB,LSTM,2026,1,0.5,0.883026493039964,0.9148418491484185,0.7305699481865285,0.8123874684911775
SKAB,LSTM,2026,2,0.5,0.9096032461677187,0.8740105540897097,0.8631921824104235,0.8685676827269747
SKAB,LSTM,2026,3,0.5,0.8967305524239008,0.8123184195235328,0.9119373776908023,0.8592501536570375
SKAB,LSTM,2026,4,0.4,0.9382998171846435,0.9868421052631579,0.8426966292134831,0.9090909090909091
SKAB,LSTM,2026,5,0.4,0.9214237743451981,1.0,0.782258064516129,0.8778280542986425
SKAB,LSTM,7,1,0.5,0.8675348001796138,0.9568965517241379,0.647020725388601,0.7720247295208655
SKAB,LSTM,7,2,0.5,0.9129846708746618,0.8873904248145651,0.857328990228013,0.8721007289595759
SKAB,LSTM,7,3,0.5,0.8947012401352875,0.8135294117647058,0.9021526418786693,0.8555521187751315
SKAB,LSTM,7,4,0.3,0.9398994515539305,0.9911958914159942,0.8433208489388264,0.9112984822934233
SKAB,LSTM,7,5,0.5,0.9091112603537049,0.9603053435114504,0.7803970223325062,0.8610540725530459
SKAB,LSTM,999,1,0.4,0.8821284238886394,0.9594229035166817,0.689119170984456,0.8021108179419525
SKAB,LSTM,999,2,0.5,0.8933724075743913,0.8265682656826568,0.8755700325732899,0.8503638089212274
SKAB,LSTM,999,3,0.5,0.8983089064261556,0.8174882629107981,0.908675799086758,0.8606734630831017
SKAB,LSTM,999,4,0.4,0.9419561243144424,0.9970501474926253,0.8439450686641697,0.914131169709263
SKAB,LSTM,999,5,0.4,0.9211999104544437,0.9984177215189873,0.78287841191067,0.8776077885952712
SKAB,GRU,42,1,0.3,0.8942523574315222,0.9558198810535259,0.7286269430051814,0.8269018743109151
SKAB,GRU,42,2,0.5,0.8715058611361587,0.7724449463579899,0.8912052117263843,0.8275862068965517
SKAB,GRU,42,3,0.5,0.8728297632468996,0.7573021773765268,0.9302022178734507,0.8348946135831382
SKAB,GRU,42,4,0.4,0.9405850091407678,0.9985141158989599,0.8389513108614233,0.9118046132971506
SKAB,GRU,42,5,0.5,0.9223192299082158,0.997639653815893,0.7866004962779156,0.8796392646548734
SKAB,GRU,123,1,0.5,0.8859452177817692,0.9512195121951219,0.7072538860103627,0.8112927191679049
SKAB,GRU,123,2,0.5,0.8827772768259693,0.807389460932768,0.8684039087947882,0.8367859384808537
SKAB,GRU,123,3,0.5,0.9167981961668545,0.8553113553113553,0.913894324853229,0.8836329233680227
SKAB,GRU,123,4,0.5,0.9403564899451554,0.9820273184759166,0.8526841448189763,0.9127965252255262
SKAB,GRU,123,5,0.3,0.9241101410342512,0.9922660479505027,0.7959057071960298,0.8833046471600688
SKAB,GRU,2026,1,0.4,0.9007633587786259,0.9799651567944251,0.7286269430051814,0.8358098068350669
SKAB,GRU,2026,2,0.5,0.9190712353471596,0.8951612903225806,0.8677524429967427,0.8812437975521006
SKAB,GRU,2026,3,0.5,0.9186020293122886,0.8483947681331748,0.9308545335942596,0.8877138413685848
SKAB,GRU,2026,4,0.5,0.9364716636197441,0.9642356241234221,0.8583021223470662,0.9081902245706737
SKAB,GRU,2026,5,0.4,0.921871502126707,0.9984214680347278,0.7847394540942928,0.8787773532476555
SKAB,GRU,7,1,0.3,0.8875168387965874,0.9415749364944962,0.7202072538860104,0.8161467889908257
SKAB,GRU,7,2,0.5,0.9019386834986475,0.8656914893617021,0.8482084690553746,0.8568608094768015
SKAB,GRU,7,3,0.5,0.8947012401352875,0.8042237442922374,0.9191128506196999,0.8578386605783866
SKAB,GRU,7,4,0.5,0.9421846435100548,0.9934162399414777,0.8476903870162297,0.9147861232738296
SKAB,GRU,7,5,0.5,0.9227669576897246,0.9992119779353822,0.7866004962779156,0.8802499132245748
SKAB,GRU,999,1,0.2,0.8850471486304445,0.9640287769784173,0.694300518134715,0.8072289156626506
SKAB,GRU,999,2,0.5,0.8850315599639315,0.8104179285281647,0.8716612377850163,0.839924670433145
SKAB,GRU,999,3,0.5,0.8940248027057497,0.8011331444759207,0.9223744292237442,0.8574893875075803
SKAB,GRU,999,4,0.4,0.9385283363802559,0.9690358902181563,0.8595505617977528,0.9110155474694013
SKAB,GRU,999,5,0.4,0.9234385493619879,0.9976489028213166,0.7897022332506204,0.881578947368421
