dataset,fold,seed,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,distance_penalty,min_anomaly_run,min_validation_recall,final_training_scope,selected_threshold,recall_constraint_met,selection_mode,validation_accuracy,validation_precision,validation_recall,validation_f1_score,inner_splitter,inner_split_id,inner_train_files,inner_validation_files,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count
SKAB,1,42,4,3,0.01,10,1.0,0.0,7,0.7,inner_train_calibrated,-0.030764417773082642,True,recall_constrained,0.46618357487922707,0.3930635838150289,0.9251700680272109,0.5517241379310345,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|12.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,13.csv|2.csv,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94
SKAB,1,123,4,3,0.01,10,1.0,0.0,7,0.7,inner_train_calibrated,-0.030764417773082642,True,recall_constrained,0.46618357487922707,0.3930635838150289,0.9251700680272109,0.5517241379310345,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|12.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,13.csv|2.csv,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94
SKAB,1,2026,4,3,0.01,5,0.1,1.0,8,0.7,inner_train_calibrated,-0.0013683031823821697,True,recall_constrained,0.47946859903381644,0.3893376413570275,0.8197278911564626,0.5279299014238773,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|13.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,12.csv|2.csv,33,16,40,0.15625,28,16,39,0.15234375,61,32,79
SKAB,1,7,4,3,0.01,5,0.1,1.0,8,0.7,inner_train_calibrated,-0.0013683031823821697,True,recall_constrained,0.47946859903381644,0.3893376413570275,0.8197278911564626,0.5279299014238773,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|13.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,12.csv|2.csv,33,16,40,0.15625,28,16,39,0.15234375,61,32,79
SKAB,1,999,4,3,0.01,10,1.0,0.0,7,0.7,inner_train_calibrated,-0.030764417773082642,True,recall_constrained,0.46618357487922707,0.3930635838150289,0.9251700680272109,0.5517241379310345,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|12.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,13.csv|2.csv,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94
SKAB,2,42,4,3,0.01,2,0.1,0.0,4,0.7,inner_train_calibrated,-0.04838031354600325,True,recall_constrained,0.40700483091787437,0.36764705882352944,0.9385665529010239,0.5283381364073007,StratifiedGroupKFold,1,0.csv|12.csv|13.csv|15.csv|3.csv|4.csv|5.csv|6.csv|7.csv|8.csv|9.csv,11.csv|2.csv,36,17,39,0.13494809688581316,31,7,19,0.3877551020408163,67,24,58
SKAB,2,123,4,3,0.01,2,0.1,0.0,4,0.7,inner_train_calibrated,-0.04838031354600325,True,recall_constrained,0.40700483091787437,0.36764705882352944,0.9385665529010239,0.5283381364073007,StratifiedGroupKFold,1,0.csv|12.csv|13.csv|15.csv|3.csv|4.csv|5.csv|6.csv|7.csv|8.csv|9.csv,11.csv|2.csv,36,17,39,0.13494809688581316,31,7,19,0.3877551020408163,67,24,58
SKAB,2,2026,4,3,0.1,10,0.5,0.0,1,0.7,inner_train_calibrated,-2.1133979164151095,True,recall_constrained,0.3589435774309724,0.3589435774309724,1.0,0.5282685512367491,StratifiedGroupKFold,5,0.csv|11.csv|13.csv|15.csv|2.csv|3.csv|5.csv|6.csv|7.csv|8.csv,12.csv|4.csv|9.csv,37,26,52,0.07692307692307693,29,23,50,0.0945179584120983,66,49,102
SKAB,2,7,4,3,0.1,10,0.5,0.0,1,0.7,inner_train_calibrated,-2.1133979164151095,True,recall_constrained,0.3589435774309724,0.3589435774309724,1.0,0.5282685512367491,StratifiedGroupKFold,5,0.csv|11.csv|13.csv|15.csv|2.csv|3.csv|5.csv|6.csv|7.csv|8.csv,12.csv|4.csv|9.csv,37,26,52,0.07692307692307693,29,23,50,0.0945179584120983,66,49,102
SKAB,2,999,4,3,0.01,2,0.1,0.0,1,0.7,inner_train_calibrated,-4.4788379426633576,True,recall_constrained,0.3581730769230769,0.3581730769230769,1.0,0.5274336283185841,StratifiedGroupKFold,5,0.csv|11.csv|13.csv|15.csv|2.csv|3.csv|5.csv|6.csv|7.csv|9.csv,12.csv|4.csv|8.csv,37,14,36,0.1836734693877551,29,12,33,0.22916666666666666,66,26,69
