dataset,model,fold,scenario,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,selected_threshold,validation_f1,inner_train_ratio,sample_count,actual_anomaly_count,unseen_count,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count,accuracy,precision,recall,f1_score
SKAB,dual_alergia_state_merging,1,original,4,3,0.05,2,0.1,-1.0832096386210477,0.567043618739903,0.7999554590501643,1123,401,0,35,17,36,0.1245674740484429,30,15,33,0.14666666666666667,65,32,69,0.3722172751558326,0.36256781193490056,1.0,0.5321831453218314
SKAB,dual_alergia_state_merging,1,gaussian_noise,4,3,0.05,2,0.1,-1.0832096386210477,0.567043618739903,0.7999554590501643,1123,401,0,35,17,36,0.1245674740484429,30,15,33,0.14666666666666667,65,32,69,0.3695458593054319,0.36158701532912535,1.0,0.5311258278145695
SKAB,dual_alergia_state_merging,1,unseen_data,4,3,0.05,2,0.1,-1.0832096386210477,0.567043618739903,0.7999554590501643,0,0,0,35,17,36,0.1245674740484429,30,15,33,0.14666666666666667,65,32,69,0.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,2,original,4,3,0.01,10,0.1,-0.605641952012054,0.567965367965368,0.7999888759107848,1119,398,2,34,23,48,0.09073724007561437,31,19,46,0.12742382271468145,65,42,94,0.3941018766756032,0.3669201520912547,0.9698492462311558,0.5324137931034483
SKAB,dual_alergia_state_merging,2,gaussian_noise,4,3,0.01,10,0.1,-0.605641952012054,0.567965367965368,0.7999888759107848,1119,398,2,34,23,48,0.09073724007561437,31,19,46,0.12742382271468145,65,42,94,0.40125111706881145,0.3694817658349328,0.9673366834170855,0.5347222222222222
SKAB,dual_alergia_state_merging,2,unseen_data,4,3,0.01,10,0.1,-0.605641952012054,0.567965367965368,0.7999888759107848,2,0,2,34,23,48,0.09073724007561437,31,19,46,0.12742382271468145,65,42,94,0.5,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,3,original,4,3,0.1,5,0.1,-0.21430628986452216,0.5745393634840871,0.8,1119,398,4,37,22,46,0.09504132231404959,31,14,35,0.17857142857142858,68,36,81,0.4101876675603217,0.35974304068522484,0.8442211055276382,0.5045045045045045
SKAB,dual_alergia_state_merging,3,gaussian_noise,4,3,0.1,5,0.1,-0.21430628986452216,0.5745393634840871,0.8,1119,398,4,37,22,46,0.09504132231404959,31,14,35,0.17857142857142858,68,36,81,0.4226988382484361,0.36637931034482757,0.8542713567839196,0.5128205128205128
SKAB,dual_alergia_state_merging,3,unseen_data,4,3,0.1,5,0.1,-0.21430628986452216,0.5745393634840871,0.8,4,0,4,37,22,46,0.09504132231404959,31,14,35,0.17857142857142858,68,36,81,0.5,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,4,original,4,3,0.01,2,0.1,-0.02271183856634046,0.5405405405405406,0.7999889129109152,1104,417,0,36,19,42,0.11634349030470914,31,10,29,0.29,67,29,71,0.4311594202898551,0.391124871001032,0.9088729016786571,0.5468975468975469
SKAB,dual_alergia_state_merging,4,gaussian_noise,4,3,0.01,2,0.1,-0.02271183856634046,0.5405405405405406,0.7999889129109152,1104,417,0,36,19,42,0.11634349030470914,31,10,29,0.29,67,29,71,0.4311594202898551,0.39179487179487177,0.9160671462829736,0.5488505747126436
SKAB,dual_alergia_state_merging,4,unseen_data,4,3,0.01,2,0.1,-0.02271183856634046,0.5405405405405406,0.7999889129109152,0,0,0,36,19,42,0.11634349030470914,31,10,29,0.29,67,29,71,0.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,5,original,4,3,0.05,5,0.1,-1.164909085182894,0.5640612409347301,0.79998884488817,1131,418,0,36,23,46,0.08695652173913043,30,14,30,0.15306122448979592,66,37,76,0.385499557913351,0.37092264678471576,0.9521531100478469,0.533869885982562
SKAB,dual_alergia_state_merging,5,gaussian_noise,4,3,0.05,5,0.1,-1.164909085182894,0.5640612409347301,0.79998884488817,1131,418,0,36,23,46,0.08695652173913043,30,14,30,0.15306122448979592,66,37,76,0.38726790450928383,0.3704052780395853,0.9401913875598086,0.5314401622718052
SKAB,dual_alergia_state_merging,5,unseen_data,4,3,0.05,5,0.1,-1.164909085182894,0.5640612409347301,0.79998884488817,0,0,0,36,23,46,0.08695652173913043,30,14,30,0.15306122448979592,66,37,76,0.0,0.0,0.0,0.0
