dataset,model,fold,seed,scenario,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,distance_penalty,min_anomaly_run,min_validation_recall,recall_constraint_met,selection_mode,final_training_scope,selected_threshold,validation_f1,inner_splitter,inner_split_id,inner_train_file_count,inner_validation_file_count,test_file_count,sample_count,actual_anomaly_count,unseen_count,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count,accuracy,precision,recall,f1_score
SKAB,dual_alergia_state_merging,1,42,original,4,3,0.01,10,1.0,0.0,7,0.7,True,recall_constrained,inner_train_calibrated,-0.030764417773082642,0.5517241379310345,StratifiedGroupKFold,1,11,2,3,1115,400,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.3901345291479821,0.3372093023255814,0.725,0.4603174603174603
SKAB,dual_alergia_state_merging,1,42,gaussian_noise,4,3,0.01,10,1.0,0.0,7,0.7,True,recall_constrained,inner_train_calibrated,-0.030764417773082642,0.5517241379310345,StratifiedGroupKFold,1,11,2,3,1115,400,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.379372197309417,0.32660332541567694,0.6875,0.4428341384863124
SKAB,dual_alergia_state_merging,1,42,unseen_data,4,3,0.01,10,1.0,0.0,7,0.7,True,recall_constrained,inner_train_calibrated,-0.030764417773082642,0.5517241379310345,StratifiedGroupKFold,1,11,2,3,2,0,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,1.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,1,123,original,4,3,0.01,10,1.0,0.0,7,0.7,True,recall_constrained,inner_train_calibrated,-0.030764417773082642,0.5517241379310345,StratifiedGroupKFold,1,11,2,3,1115,400,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.3901345291479821,0.3372093023255814,0.725,0.4603174603174603
SKAB,dual_alergia_state_merging,1,123,gaussian_noise,4,3,0.01,10,1.0,0.0,7,0.7,True,recall_constrained,inner_train_calibrated,-0.030764417773082642,0.5517241379310345,StratifiedGroupKFold,1,11,2,3,1115,400,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.38385650224215245,0.3301775147928994,0.6975,0.44819277108433736
SKAB,dual_alergia_state_merging,1,123,unseen_data,4,3,0.01,10,1.0,0.0,7,0.7,True,recall_constrained,inner_train_calibrated,-0.030764417773082642,0.5517241379310345,StratifiedGroupKFold,1,11,2,3,2,0,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,1.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,1,2026,original,4,3,0.01,5,0.1,1.0,8,0.7,True,recall_constrained,inner_train_calibrated,-0.0013683031823821697,0.5279299014238773,StratifiedGroupKFold,1,11,2,3,1115,400,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,0.3524663677130045,0.3170454545454545,0.6975,0.4359375
SKAB,dual_alergia_state_merging,1,2026,gaussian_noise,4,3,0.01,5,0.1,1.0,8,0.7,True,recall_constrained,inner_train_calibrated,-0.0013683031823821697,0.5279299014238773,StratifiedGroupKFold,1,11,2,3,1115,400,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,0.33901345291479823,0.3083048919226394,0.6775,0.42376856919468336
SKAB,dual_alergia_state_merging,1,2026,unseen_data,4,3,0.01,5,0.1,1.0,8,0.7,True,recall_constrained,inner_train_calibrated,-0.0013683031823821697,0.5279299014238773,StratifiedGroupKFold,1,11,2,3,3,0,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,1.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,1,7,original,4,3,0.01,5,0.1,1.0,8,0.7,True,recall_constrained,inner_train_calibrated,-0.0013683031823821697,0.5279299014238773,StratifiedGroupKFold,1,11,2,3,1115,400,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,0.3524663677130045,0.3170454545454545,0.6975,0.4359375
