fold,scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,unseen_count_mean,unseen_count_std
1,gaussian_noise,0.36573991031390135,0.006128914641531786,0.3465456817877154,0.011577918552144092,0.8745,0.11473338659692738,0.4956304340119987,0.030056651851299854,1.0,0.0
1,original,0.3634080717488789,0.0034386169529472127,0.34637208305923084,0.011588297812344476,0.8800000000000001,0.1095445115010332,0.4964385850841294,0.029178093619345556,1.0,0.0
1,unseen_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,gaussian_noise,0.4787387387387387,0.09740901160862682,0.30273713952759695,0.0991318967879324,0.592462311557789,0.49132136316465236,0.3566980894245353,0.2470863418668135,2.0,0.0
2,original,0.47351351351351345,0.09292084228837051,0.28651545535072814,0.12027527878269521,0.5899497487437186,0.49809110118751865,0.3501184090153679,0.25573564989711856,2.0,0.0
2,unseen_data,0.2,0.27386127875258304,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
3,gaussian_noise,0.4878487848784879,0.11544860563395629,0.4059304993539117,0.05340472278878391,0.7693467336683417,0.1933563605224588,0.5170768459625357,0.008743105465757435,1.0,0.0
3,original,0.48514851485148514,0.11500741371222421,0.4046148144032554,0.0524695207743312,0.7758793969849246,0.18933957192870168,0.5181781899213402,0.005902885222346801,1.0,0.0
3,unseen_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,gaussian_noise,0.45205479452054786,0.029116527062885606,0.4050855572341,0.011686355611191858,0.9384615384615385,0.01993888591666123,0.565682470248176,0.008701584804477835,2.0,0.0
4,original,0.45022831050228307,0.026594008727965378,0.40419210166517566,0.010387474502189237,0.9384615384615385,0.022524436106004728,0.5648134310059296,0.007036691141070057,2.0,0.0
4,unseen_data,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
5,gaussian_noise,0.4318425760286225,0.072136512138612,0.33901825123963636,0.04333009921515901,0.6575539568345323,0.40110879796262733,0.41977480512953774,0.1553063688215724,0.0,0.0
5,original,0.43130590339892666,0.07005753642507939,0.33894087409646706,0.043274485677249196,0.6575539568345323,0.39667197210206273,0.4207093435750096,0.15335496956328773,0.0,0.0
5,unseen_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
