dataset,fold,seed,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,distance_penalty,baseline_threshold,high_threshold,low_threshold,hysteresis_width,min_anomaly_run,baseline_selected,validation_selection_mode,validation_recall_constraint_met,validation_accuracy,validation_precision,validation_recall,validation_f1_score,validation_mean_file_f1,validation_min_file_f1,validation_std_file_f1,inner_splitter,inner_split_id,inner_train_files,inner_validation_files,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count
SKAB,1,42,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.04618938246937465,0.01542496469629201,10,False,recall_constrained,True,0.47342995169082125,0.3961988304093567,0.9217687074829932,0.5541922290388548,0.5855694260119442,0.5142045454545454,0.07136488055739881,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|12.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,13.csv|2.csv,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94
SKAB,1,123,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.04618938246937465,0.01542496469629201,10,False,recall_constrained,True,0.47342995169082125,0.3961988304093567,0.9217687074829932,0.5541922290388548,0.5855694260119442,0.5142045454545454,0.07136488055739881,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|12.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,13.csv|2.csv,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94
SKAB,1,2026,4,3,0.01,5,0.1,0.0,-2.2043674648485996,-0.0013683031823821697,-0.0013683031823821697,0.0,12,False,recall_constrained,True,0.5096618357487923,0.4057239057239057,0.8197278911564626,0.5427927927927928,0.5690906382344805,0.5198237885462555,0.04926684968822487,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|13.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,12.csv|2.csv,33,16,40,0.15625,28,16,39,0.15234375,61,32,79
SKAB,1,7,4,3,0.01,5,0.1,0.0,-2.2043674648485996,-0.0013683031823821697,-0.0013683031823821697,0.0,12,False,recall_constrained,True,0.5096618357487923,0.4057239057239057,0.8197278911564626,0.5427927927927928,0.5690906382344805,0.5198237885462555,0.04926684968822487,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|13.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,12.csv|2.csv,33,16,40,0.15625,28,16,39,0.15234375,61,32,79
SKAB,1,999,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.04618938246937465,0.01542496469629201,10,False,recall_constrained,True,0.47342995169082125,0.3961988304093567,0.9217687074829932,0.5541922290388548,0.5855694260119442,0.5142045454545454,0.07136488055739881,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|12.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,13.csv|2.csv,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94
SKAB,2,42,4,3,0.01,2,0.1,0.0,-0.021027450897390665,-0.021027450897390665,-0.021027450897390665,0.0,12,False,recall_constrained,True,0.46859903381642515,0.38980509745127434,0.8873720136518771,0.5416666666666666,0.5666454757363848,0.5179063360881543,0.04873913964823057,StratifiedGroupKFold,1,0.csv|12.csv|13.csv|15.csv|3.csv|4.csv|5.csv|6.csv|7.csv|8.csv|9.csv,11.csv|2.csv,36,17,39,0.13494809688581316,31,7,19,0.3877551020408163,67,24,58
SKAB,2,123,4,3,0.01,2,0.1,0.0,-0.021027450897390665,-0.021027450897390665,-0.021027450897390665,0.0,12,False,recall_constrained,True,0.46859903381642515,0.38980509745127434,0.8873720136518771,0.5416666666666666,0.5666454757363848,0.5179063360881543,0.04873913964823057,StratifiedGroupKFold,1,0.csv|12.csv|13.csv|15.csv|3.csv|4.csv|5.csv|6.csv|7.csv|8.csv|9.csv,11.csv|2.csv,36,17,39,0.13494809688581316,31,7,19,0.3877551020408163,67,24,58
SKAB,2,2026,4,3,0.1,10,0.5,0.0,0.013988442150093858,0.4388979705544817,-2.1133979164141095,2.552295886968591,1,False,recall_constrained,True,0.5822328931572629,0.46213292117465227,1.0,0.6321353065539113,0.6393525561898675,0.5606469002695418,0.06956582249188692,StratifiedGroupKFold,5,0.csv|11.csv|13.csv|15.csv|2.csv|3.csv|5.csv|6.csv|7.csv|8.csv,12.csv|4.csv|9.csv,37,26,52,0.07692307692307693,29,23,50,0.0945179584120983,66,49,102
SKAB,2,7,4,3,0.1,10,0.5,0.0,0.013988442150093858,0.4388979705544817,-2.1133979164141095,2.552295886968591,1,False,recall_constrained,True,0.5822328931572629,0.46213292117465227,1.0,0.6321353065539113,0.6393525561898675,0.5606469002695418,0.06956582249188692,StratifiedGroupKFold,5,0.csv|11.csv|13.csv|15.csv|2.csv|3.csv|5.csv|6.csv|7.csv|8.csv,12.csv|4.csv|9.csv,37,26,52,0.07692307692307693,29,23,50,0.0945179584120983,66,49,102
SKAB,2,999,4,3,0.01,2,0.1,0.0,-4.4788379426633576,0.21533566695391337,-4.4788379426623575,4.6941736096162705,1,False,recall_constrained,True,0.7211538461538461,0.5627376425855514,0.9932885906040269,0.7184466019417476,0.7262397659768179,0.6026490066225165,0.09324780979075824,StratifiedGroupKFold,5,0.csv|11.csv|13.csv|15.csv|2.csv|3.csv|5.csv|6.csv|7.csv|9.csv,12.csv|4.csv|8.csv,37,14,36,0.1836734693877551,29,12,33,0.22916666666666666,66,26,69
