scenario,fold,pair_count,hysteresis_win_count,baseline_win_count,tie_count,f1_difference_mean,f1_difference_median,f1_difference_std,precision_difference_mean,recall_difference_mean,accuracy_difference_mean,actual_hysteresis_selected_count
gaussian_noise,1,5,0,5,0,-0.04642516404219911,-0.027746768637334274,0.031582086346521945,-0.013512318729477456,-0.182,0.02654708520179372,5
gaussian_noise,2,5,2,3,0,-0.008372418427348472,-0.014953654967006513,0.031734050004192764,-0.00859310250099976,-0.04271356783919602,0.005405405405405394,5
gaussian_noise,3,5,0,5,0,-0.026247434950224434,-0.027447907634932767,0.009185570666905118,-0.005418034737389765,-0.114572864321608,0.024122412241224134,5
gaussian_noise,4,5,5,0,0,0.019562343740771905,0.022523693613168083,0.008221533529778686,0.02780369324033575,-0.029326923076923105,0.057534246575342465,5
gaussian_noise,5,5,2,3,0,0.062450021913203146,-0.0484644017196888,0.15633614183745317,0.06436449614486514,-0.030215827338129442,0.081216457960644,5
original,1,5,0,5,0,-0.051342238451745445,-0.030146908697987473,0.02902290054973415,-0.01631190864727191,-0.194,0.024394618834080783,5
original,2,5,2,3,0,-0.011728645802064874,-0.036678896316027665,0.03757673471147414,-0.011968179092523058,-0.04422110552763825,0.00018018018018015614,5
original,3,5,0,5,0,-0.028730734021404625,-0.02808843664594335,0.0014218329904503088,-0.0064470039009765,-0.1185929648241206,0.022322232223222327,5
original,4,5,5,0,0,0.02156656280552698,0.026029962546816554,0.007128849399739285,0.02910923033180838,-0.025480769230769272,0.059908675799086784,5
original,5,5,2,3,0,0.07708053017032783,-0.040926588103603834,0.16158790156203118,0.07535090530166404,-0.009112709832134325,0.09320214669051882,5
