dataset,model,method,fold,seed,scenario,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,distance_penalty,baseline_threshold,high_threshold,low_threshold,hysteresis_width,min_anomaly_run,baseline_selected,validation_selection_mode,validation_recall_constraint_met,validation_accuracy,validation_precision,validation_recall,validation_f1_score,validation_mean_file_f1,validation_min_file_f1,validation_std_file_f1,final_training_scope,inner_splitter,inner_split_id,inner_train_file_count,inner_validation_file_count,test_file_count,sample_count,actual_anomaly_count,raw_predicted_anomaly_count,predicted_anomaly_count,unseen_count,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count,accuracy,precision,recall,f1_score
SKAB,dual_alergia_hysteresis,baseline_single_threshold,1,42,original,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.030764417773082642,0.0,1,True,existing_single_threshold_baseline,True,0.427536231884058,0.3773841961852861,0.9421768707482994,0.5389105058365758,0.5533758983374972,0.5148514851485149,0.03852441318898242,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,921,921,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.38385650224215245,0.34419109663409336,0.7925,0.47993943981831944
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,1,42,original,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.04618938246937465,0.01542496469629201,10,False,recall_constrained,True,0.47342995169082125,0.3961988304093567,0.9217687074829932,0.5541922290388548,0.5855694260119442,0.5142045454545454,0.07136488055739881,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,926,805,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.4053811659192825,0.33664596273291925,0.6775,0.44979253112033196
SKAB,dual_alergia_hysteresis,baseline_single_threshold,1,42,gaussian_noise,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.030764417773082642,0.0,1,True,existing_single_threshold_baseline,True,0.427536231884058,0.3773841961852861,0.9421768707482994,0.5389105058365758,0.5533758983374972,0.5148514851485149,0.03852441318898242,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,911,911,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.38026905829596414,0.3402854006586169,0.775,0.47292143401983217
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,1,42,gaussian_noise,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.04618938246937465,0.01542496469629201,10,False,recall_constrained,True,0.47342995169082125,0.3961988304093567,0.9217687074829932,0.5541922290388548,0.5855694260119442,0.5142045454545454,0.07136488055739881,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,914,796,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.4134529147982063,0.34045226130653267,0.6775,0.4531772575250836
SKAB,dual_alergia_hysteresis,baseline_single_threshold,1,42,unseen_data,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.030764417773082642,0.0,1,True,existing_single_threshold_baseline,True,0.427536231884058,0.3773841961852861,0.9421768707482994,0.5389105058365758,0.5533758983374972,0.5148514851485149,0.03852441318898242,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,2,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.5,0.0,0.0,0.0
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,1,42,unseen_data,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.04618938246937465,0.01542496469629201,10,False,recall_constrained,True,0.47342995169082125,0.3961988304093567,0.9217687074829932,0.5541922290388548,0.5855694260119442,0.5142045454545454,0.07136488055739881,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,2,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,1.0,0.0,0.0,0.0
SKAB,dual_alergia_hysteresis,baseline_single_threshold,1,123,original,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.030764417773082642,0.0,1,True,existing_single_threshold_baseline,True,0.427536231884058,0.3773841961852861,0.9421768707482994,0.5389105058365758,0.5533758983374972,0.5148514851485149,0.03852441318898242,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,921,921,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.38385650224215245,0.34419109663409336,0.7925,0.47993943981831944
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,1,123,original,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.04618938246937465,0.01542496469629201,10,False,recall_constrained,True,0.47342995169082125,0.3961988304093567,0.9217687074829932,0.5541922290388548,0.5855694260119442,0.5142045454545454,0.07136488055739881,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,926,805,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.4053811659192825,0.33664596273291925,0.6775,0.44979253112033196
SKAB,dual_alergia_hysteresis,baseline_single_threshold,1,123,gaussian_noise,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.030764417773082642,0.0,1,True,existing_single_threshold_baseline,True,0.427536231884058,0.3773841961852861,0.9421768707482994,0.5389105058365758,0.5533758983374972,0.5148514851485149,0.03852441318898242,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,910,910,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.3829596412556054,0.34175824175824177,0.7775,0.47480916030534354
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,1,123,gaussian_noise,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.04618938246937465,0.01542496469629201,10,False,recall_constrained,True,0.47342995169082125,0.3961988304093567,0.9217687074829932,0.5541922290388548,0.5855694260119442,0.5142045454545454,0.07136488055739881,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,914,796,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.4116591928251121,0.3391959798994975,0.675,0.451505016722408
