scenario,seed,pair_count,hysteresis_win_count,baseline_win_count,tie_count,f1_difference_mean,f1_difference_median,f1_difference_std,precision_difference_mean,recall_difference_mean,accuracy_difference_mean,actual_hysteresis_selected_count
gaussian_noise,7,5,1,4,0,-0.03526015971650011,-0.0363066256523179,0.03394868505683153,-0.012557436488904904,-0.13474018311442842,0.016027369235774348,5
gaussian_noise,42,5,2,3,0,-0.012955408353428644,-0.019744176494748522,0.033689136441714514,0.009558384858080193,-0.10654192424954509,0.04935083002685895,5
gaussian_noise,123,5,3,2,0,0.04519836867638375,0.006926428027418163,0.11014029518657077,0.0407831814342557,0.005903728196414648,0.051678562648170626,5
gaussian_noise,999,5,1,4,0,-0.021998035829029306,-0.027746768637334274,0.02893965968281013,0.006240897649517674,-0.1401645927942609,0.04937997235487308,5
gaussian_noise,2026,5,2,3,0,0.02598258345677734,-0.014953654967006513,0.1207127282427207,0.020619705964385237,-0.023286210614036795,0.028388873118732706,5
original,7,5,1,4,0,-0.03298546022822389,-0.036678896316027665,0.03899419735576673,-0.010439172472311109,-0.13345591984085717,0.019479908158693892,5
original,42,5,2,3,0,-0.009958599332147666,-0.02808843664594335,0.03216484119646649,0.011924509719489485,-0.10081473313811266,0.05113477640300892,5
original,123,5,3,2,0,0.046543429504285326,0.009681692212249904,0.11885436464841356,0.04178375372501207,0.007178887427359992,0.05201532119285192,5
original,999,5,1,4,0,-0.02340656250054183,-0.030146908697987473,0.02845298312195462,0.0064680443019740855,-0.1457147138107064,0.05174689537129227,5
original,2026,5,2,3,0,0.026652667257267927,-0.027043704443292182,0.13292502372134535,0.019995908718536414,-0.018601070052346215,0.025630952601241885,5
