dataset,model,fold,ensemble_size,seeds,threshold,val_f1,accuracy,precision,recall,f1
SKAB,LSTM,1,2,"42,123",0.3,0.8771773112996873,0.898069151324652,0.9634353741496599,0.7338082901554405,0.8330882352941177
SKAB,LSTM,2,2,"42,123",0.35,0.9136537643555933,0.8509918845807033,0.7357065803667745,0.888599348534202,0.8049572145175568
SKAB,LSTM,3,2,"42,123",0.25,0.9048442906574394,0.8780157835400225,0.7713347921225383,0.9197651663405088,0.839036001190122
SKAB,LSTM,4,2,"42,123",0.5,0.912,0.9421846435100548,1.0,0.8420724094881398,0.9142663503896984
SKAB,LSTM,5,2,"42,123",0.3,0.9480671612651308,0.9173942243116185,0.985167837626854,0.78287841191067,0.8724507431731766
SKAB,GRU,1,2,"42,123",0.45,0.8775692582663092,0.8890884598114055,0.9764065335753176,0.6968911917098446,0.8133030990173847
SKAB,GRU,2,2,"42,123",0.5,0.9144316730523627,0.9109558160504959,0.8840970350404312,0.8547231270358306,0.8691619741636304
SKAB,GRU,3,2,"42,123",0.25,0.9058721934369602,0.8448703494926719,0.711144427786107,0.9282452707110241,0.8053197509903792
SKAB,GRU,4,2,"42,123",0.45,0.914572864321608,0.9440127970749543,1.0,0.8470661672908864,0.9172017573504563
SKAB,GRU,5,2,"42,123",0.45,0.9513807856865033,0.9211999104544437,0.9945054945054945,0.7859801488833746,0.878031878031878
