dataset,model,seed,fold,threshold,accuracy,precision,recall,f1
SKAB,LSTM,42,1,0.24000000000000002,0.8877413560844185,0.967741935483871,0.6994818652849741,0.8120300751879699
SKAB,LSTM,123,1,0.19,0.8866187696452626,0.952920662598082,0.707901554404145,0.8123374210330732
SKAB,LSTM,2026,1,0.18000000000000002,0.8929052537045352,0.9611063094209161,0.7202072538860104,0.8233987412069604
SKAB,LSTM,7,1,0.37,0.8709025594970813,0.9515377446411929,0.6612694300518135,0.7802827665265571
SKAB,LSTM,999,1,0.26,0.8875168387965874,0.9408284023668639,0.7208549222797928,0.8162816281628162
SKAB,GRU,42,1,0.32,0.8715761113605748,0.9774066797642437,0.6444300518134715,0.7767369242779079
SKAB,GRU,123,1,0.45,0.8709025594970813,0.9792284866468842,0.6411917098445595,0.7749510763209393
SKAB,GRU,2026,1,0.3,0.8881903906600809,0.9789377289377289,0.6923575129533679,0.8110773899848255
SKAB,GRU,7,1,0.3,0.8922317018410417,0.9767025089605734,0.7059585492227979,0.8195488721804511
SKAB,GRU,999,1,0.43,0.8634934889986529,0.9795081967213115,0.6191709844559585,0.7587301587301587
