accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,smoothing_alpha,decision_mode,score_window,score_threshold,anomaly_threshold,max_mapping_distance,num_states,vocab_size,num_transitions,transition_density,smoothing,learning_rate,time_decay_enabled,time_decay_rate,time_decay_min_weight
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,42,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,225,35,400,0.050793650793650794,True,0.0,True,0.999,0.01
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,123,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,225,35,400,0.050793650793650794,True,0.0,True,0.999,0.01
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,2026,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,225,35,400,0.050793650793650794,True,0.0,True,0.999,0.01
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,7,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,225,35,400,0.050793650793650794,True,0.0,True,0.999,0.01
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,999,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,225,35,400,0.050793650793650794,True,0.0,True,0.999,0.01
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_2,42,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,234,34,438,0.05505279034690799,True,0.0,True,0.999,0.01
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_2,123,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,234,34,438,0.05505279034690799,True,0.0,True,0.999,0.01
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_2,2026,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,234,34,438,0.05505279034690799,True,0.0,True,0.999,0.01
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_2,7,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,234,34,438,0.05505279034690799,True,0.0,True,0.999,0.01
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_2,999,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,234,34,438,0.05505279034690799,True,0.0,True,0.999,0.01
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_3,42,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,243,37,440,0.048937826715604496,True,0.0,True,0.999,0.01
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_3,123,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,243,37,440,0.048937826715604496,True,0.0,True,0.999,0.01
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_3,2026,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,243,37,440,0.048937826715604496,True,0.0,True,0.999,0.01
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_3,7,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,243,37,440,0.048937826715604496,True,0.0,True,0.999,0.01
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_3,999,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,243,37,440,0.048937826715604496,True,0.0,True,0.999,0.01
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_4,42,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,241,36,449,0.05175195942830797,True,0.0,True,0.999,0.01
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_4,123,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,241,36,449,0.05175195942830797,True,0.0,True,0.999,0.01
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_4,2026,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,241,36,449,0.05175195942830797,True,0.0,True,0.999,0.01
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_4,7,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,241,36,449,0.05175195942830797,True,0.0,True,0.999,0.01
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_4,999,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,241,36,449,0.05175195942830797,True,0.0,True,0.999,0.01
0.7391304347826086,0.7142857142857143,1.0,0.8333333333333334,unseen_data,SKAB,fold_5,42,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,225,36,389,0.048024691358024695,True,0.0,True,0.999,0.01
0.7391304347826086,0.7142857142857143,1.0,0.8333333333333334,unseen_data,SKAB,fold_5,123,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,225,36,389,0.048024691358024695,True,0.0,True,0.999,0.01
0.7391304347826086,0.7142857142857143,1.0,0.8333333333333334,unseen_data,SKAB,fold_5,2026,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,225,36,389,0.048024691358024695,True,0.0,True,0.999,0.01
0.7391304347826086,0.7142857142857143,1.0,0.8333333333333334,unseen_data,SKAB,fold_5,7,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,225,36,389,0.048024691358024695,True,0.0,True,0.999,0.01
0.7391304347826086,0.7142857142857143,1.0,0.8333333333333334,unseen_data,SKAB,fold_5,999,4,3,3,0.5,avg_negative_log,10,0.3567,0.9,,225,36,389,0.048024691358024695,True,0.0,True,0.999,0.01
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,42,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,401,71,654,0.022970742158687787,True,0.0,True,0.999,0.01
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,123,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,401,71,654,0.022970742158687787,True,0.0,True,0.999,0.01
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,2026,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,401,71,654,0.022970742158687787,True,0.0,True,0.999,0.01
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,7,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,401,71,654,0.022970742158687787,True,0.0,True,0.999,0.01
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,999,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,401,71,654,0.022970742158687787,True,0.0,True,0.999,0.01
0.6666666666666666,0.0,0.0,0.0,unseen_data,SKAB,fold_2,42,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,419,68,716,0.025129861013617857,True,0.0,True,0.999,0.01
0.6666666666666666,0.0,0.0,0.0,unseen_data,SKAB,fold_2,123,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,419,68,716,0.025129861013617857,True,0.0,True,0.999,0.01
0.6666666666666666,0.0,0.0,0.0,unseen_data,SKAB,fold_2,2026,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,419,68,716,0.025129861013617857,True,0.0,True,0.999,0.01
0.6666666666666666,0.0,0.0,0.0,unseen_data,SKAB,fold_2,7,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,419,68,716,0.025129861013617857,True,0.0,True,0.999,0.01
0.6666666666666666,0.0,0.0,0.0,unseen_data,SKAB,fold_2,999,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,419,68,716,0.025129861013617857,True,0.0,True,0.999,0.01
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_3,42,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,407,69,675,0.024035893601110993,True,0.0,True,0.999,0.01
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_3,123,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,407,69,675,0.024035893601110993,True,0.0,True,0.999,0.01
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_3,2026,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,407,69,675,0.024035893601110993,True,0.0,True,0.999,0.01
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_3,7,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,407,69,675,0.024035893601110993,True,0.0,True,0.999,0.01
1.0,0.0,0.0,0.0,unseen_data,SKAB,fold_3,999,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,407,69,675,0.024035893601110993,True,0.0,True,0.999,0.01
0.6666666666666666,0.0,0.0,0.0,unseen_data,SKAB,fold_4,42,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,403,68,670,0.02444898554955481,True,0.0,True,0.999,0.01
0.6666666666666666,0.0,0.0,0.0,unseen_data,SKAB,fold_4,123,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,403,68,670,0.02444898554955481,True,0.0,True,0.999,0.01
0.6666666666666666,0.0,0.0,0.0,unseen_data,SKAB,fold_4,2026,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,403,68,670,0.02444898554955481,True,0.0,True,0.999,0.01
0.6666666666666666,0.0,0.0,0.0,unseen_data,SKAB,fold_4,7,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,403,68,670,0.02444898554955481,True,0.0,True,0.999,0.01
0.6666666666666666,0.0,0.0,0.0,unseen_data,SKAB,fold_4,999,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,403,68,670,0.02444898554955481,True,0.0,True,0.999,0.01
0.7209302325581395,0.7073170731707317,1.0,0.8285714285714286,unseen_data,SKAB,fold_5,42,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,368,64,606,0.02573029891304348,True,0.0,True,0.999,0.01
0.7209302325581395,0.7073170731707317,1.0,0.8285714285714286,unseen_data,SKAB,fold_5,123,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,368,64,606,0.02573029891304348,True,0.0,True,0.999,0.01
0.7209302325581395,0.7073170731707317,1.0,0.8285714285714286,unseen_data,SKAB,fold_5,2026,5,3,3,0.5,avg_negative_log,10,0.0,0.9,,368,64,606,0.02573029891304348,True,0.0,True,0.999,0.01
