dataset,window_size,score_threshold,order,smoothing_alpha,decision_mode,score_window,max_mapping_distance,transition_confidence_enabled,transition_confidence_k,transition_confidence_weight,transition_confidence_mode,transition_confidence_use_transition_count,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,4,4.2,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.9365853658536587,0.0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.38095238095238093,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,3.912,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.8243902439024391,0.0,0.1282051282051282,0.0,0.7142857142857143,0.0,0.21739130434782608,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,3.5066,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.6634146341463415,0.0,0.06944444444444445,0.0,0.7142857142857143,0.0,0.12658227848101267,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,2.9957,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.3951219512195122,0.0,0.046511627906976744,0.0,0.8571428571428571,0.0,0.08823529411764706,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,2.3026,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.11219512195121953,0.0,0.037037037037037035,0.0,1.0,0.0,0.07142857142857142,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.0,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.001,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.005,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.01,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.05,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.1054,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.2231,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.3567,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.5108,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.6931,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.9163,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,1.204,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,1.6094,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,1.6094,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.16,0.0,0.029411764705882353,0.0,1.0,0.0,0.05714285714285714,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,1.204,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.05454545454545454,0.0,0.026217228464419477,0.0,1.0,0.0,0.05109489051094891,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.0,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.001,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.005,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.01,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.05,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.1054,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.2231,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.3567,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.5108,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.6931,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.9163,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,2.3026,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.31272727272727274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,2.9957,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07385976855003404,226.0,434.0
