dataset,window_size,score_threshold,order,smoothing_alpha,decision_mode,score_window,max_mapping_distance,transition_confidence_enabled,transition_confidence_k,transition_confidence_weight,transition_confidence_mode,transition_confidence_use_transition_count,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
SKAB,5,0.05,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.3874314859411134,0.05386402589484427,0.3716248178721377,0.02464538040715324,1.0,0.0,0.5414343890801612,0.025562644415137382,0.024463156247202984,399.6,664.2
SKAB,4,0.05,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.47168211257709963,0.1931369571332731,0.3914267695521122,0.1272156804815844,0.863157894736842,0.279327777685801,0.5377604712476213,0.17320098281951837,0.05091218372849919,233.6,423.2
SKAB,5,0.0,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,5,0.001,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,5,0.005,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,5,0.01,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,4,0.0,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.001,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.005,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.01,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.2231,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.5930619071828944,0.15115928278810475,0.4960271863096202,0.19953309836482286,0.6034981748486674,0.31490330416385803,0.4939948798144023,0.1845356323259446,0.05091218372849919,233.6,423.2
SKAB,4,0.3567,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.5957372330694762,0.14891229406636153,0.49647662470181486,0.20113044579874612,0.5885067471970207,0.31607603559726366,0.4877535818382128,0.18879429802413278,0.05091218372849919,233.6,423.2
SKAB,4,0.1054,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.545692838269137,0.1442242694430321,0.39590561324354745,0.15332366566610986,0.6185020652647736,0.31144451917935967,0.47574019100612036,0.20129939281124726,0.05091218372849919,233.6,423.2
SKAB,4,0.5108,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.6000274999957103,0.1452940891882381,0.49761251133526074,0.2061901539279838,0.557018873159002,0.31394920719632047,0.47469764530390984,0.19550657051079448,0.05091218372849919,233.6,423.2
SKAB,4,0.6931,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.604297493899302,0.14533386564983966,0.5006074883666818,0.22412547950833386,0.5169947330827533,0.3118237127371068,0.45684498351242014,0.20842377095104947,0.05091218372849919,233.6,423.2
SKAB,3,0.1054,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.550125504419663,0.16860921661811884,0.3507761113996935,0.16563818310449813,0.6656010350064687,0.24052827769331714,0.45138620646420363,0.1828361392557179,0.09671838815773455,131.8,248.2
SKAB,4,0.9163,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.6138551677543305,0.13686786438481427,0.5064371793922797,0.23754693148226436,0.45797286233038953,0.2882369436382675,0.4329368031957736,0.21533225112620638,0.05091218372849919,233.6,423.2
SKAB,3,0.0,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.26898492572952654,0.0022735778078821515,0.2680053651888835,0.0022691334014790657,1.0,0.0,0.4227147561382856,0.00282397625619724,0.09671838815773455,131.8,248.2
SKAB,3,0.001,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.26898492572952654,0.0022735778078821515,0.2680053651888835,0.0022691334014790657,1.0,0.0,0.4227147561382856,0.00282397625619724,0.09671838815773455,131.8,248.2
SKAB,3,0.005,3,0.5,avg_negative_log,10,,True,10.0,0.5,additive,True,25,0.26898492572952654,0.0022735778078821515,0.2680053651888835,0.0022691334014790657,1.0,0.0,0.4227147561382856,0.00282397625619724,0.09671838815773455,131.8,248.2
